stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.72,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.33,0,0,0,0,0,0,2.78,0,0,0,3.6,0.85,0,0,0,145.64,0,0,0,2.4,0,0,0,0,0
 24-34,1.91,0,0,11.3,4.75,1.38,0,0,0,0.76,0.62,0,0,0,1.01,2.03,0,0,55.57,0,0.68,0,0,463.96,0,1.63,4.41,15.24,0,0,1.62,0,0
 36-46,0,0,0,1.19,21.13,0.57,0,0,0,1.64,0,0,0,0,2.47,0.87,0,2.03,51.22,1.27,2.26,0,0,538.42,0,14.9,0.91,17.27,0,0,2.83,0,0
 48-58,10.31,0,0,14.71,22.67,0.62,0,2.28,0,0,0,0,0,0,7.59,0,0.77,3.87,49.21,0.42,0,0,0.95,297.34,0,9.15,0,12.68,0,0,0,0,0
 60-70,2.03,0,0,31.03,19.89,3.17,0,1.05,0,1.87,0.58,0,0,0,4.93,1.31,0,2.28,25.64,0,1.42,0,0,228.29,0,20.39,0,15.07,0,0,0,0,0
 72-82,7.05,1.37,0,16.35,41.88,1.09,6.23,0.49,0,0,0,0,0,1.68,17.69,0,1.19,4.9,34.02,0,0,0,0,137.19,0,8.46,0,4.43,2.31,1.14,0,0,8.95
 84-94,10.66,0,0,21.79,73.1,3.08,0,2.91,0,0.78,0.6,5.56,2.47,0,2.6,3.02,0,2.89,10.85,0,1.05,0,0,365.56,0,11.94,0,3.86,0,0,5.09,0,0
 96-106,18.88,6.45,0,15.71,148.36,0.65,0,3.95,0.56,0,0.66,0,0,1.26,20.91,4.68,1.03,12.93,52.8,0,2.13,0,0,183.92,0,27.42,0,0,0.69,0,0,3.34,20.92
108-118,19.13,0,0,26.53,143.19,1.15,0,4.67,0.43,0.71,2.31,0,1.01,0,17.9,3.13,0,20.84,41.62,0,0.46,0.42,1.1,185.09,0.75,19.5,0,7.44,0,0,0,0,0
120,57.33,0,5.3,0,100.39,0,0,6.26,0,0,0,0,1.11,0,0,0,0,26.9,22.92,1.29,0,0,0,114.47,0,4.11,0,0,0,0,0,0,0
