stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0.94,9,5.55,0,1.73,0,0,1.62,0,0,0,0,0,3.75,0,0.89,74.06,0,0,0,0.82,0,7.02,0,3.45,47.96,0,1.62,0
 24-34,0,0,0.61,0,0,3.6,0,0,0.65,0,2.95,0,0,0,2.23,0,3.69,298.84,10.79,0,0,0,0,0,0,0,261.64,0,2.54,0
 36-46,0,0,18.64,0,0,9.86,0,0,0,0,0,0,0,2.54,1.61,0.92,0.75,478.45,0,0,0,0,0,0,0,0,318.56,0,1.63,0
 48-58,0,0,4.11,1.15,0,14.3,0,0,3.05,0,0.37,0,0,0,2.78,0,0.46,374.8,0,0,0,0,3.16,0,0,0,218.17,0,0,0
 60-70,0.62,0,2.19,0,0,206.89,0,0,0.72,0.85,0,0,0,0,8.51,0,0,435.77,0,0,0.65,0,0,0,0,0,132.39,0,0,0
 72-82,0.56,0,7.62,3.44,0,726.5,0,0,23.58,1.29,0,0.59,1,0,7.39,8.21,0,450.58,0,0.55,0.65,0,0.59,0,0,0,47.22,1.26,0.73,0
 84-94,0,0,1.28,0,0,493.68,0,0,15.65,0,1.22,0,0,0,17.36,0,0,267.47,0,0.81,1.75,0,0.6,0,1.41,0,54.36,1.49,1.39,0.68
 96-106,0,0,3.55,1.57,0,817.25,1.18,2.35,21.57,0,0,0,0,5.57,6.08,0,0,281.01,0,1.9,1.39,0,2.14,0,0,0,6.6,0,0.8,0
108-118,0,0,14.13,0,0,693.13,0,0,17.32,1.26,0,0.82,0,0,5.7,0,1.22,317.22,1.29,0,1.78,0,0.59,0,0,0,7.84,0,0.99,0.49
120,0,1.28,7.65,1.88,11.16,550.68,0,0,9.09,0,0,0,0,0,1.71,3.7,0,494.75,0,0,6.31,0,0,0,0,0,20.11,0,8.01,0
