stage,blastomeres,eye,glial,gut,mesenchyme,neural,paraxial.mesoderm
  7-9,3.67,0,0,0,0,0,4.42
 10-12,0,0,0,0,0,0,7.27
 60-70,0,0,0,0.68,0,3.49,0
 72-82,0,0,0.93,0,0,1.1,0
 96-106,0,2.04,0,0,0,4.66,0
108-118,0,0,0,0,1.81,4.09,0
120,0,0,0,0,0,18.74,0
