stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,122.82,1514.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.24,0,0,0,0,0,0,0,0,0,0,0
  5-6,64.05,883.96,0,10.49,0,0,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,38.82,0,0,0,13.26,0,7.83,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.21,73.27,0,48.87,0,0,0,166.2,0,0,0,0,0,63.66,0,0,0,0,0,0,0,0,1728.74,88.9,0,0,629.32,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,57.83,0,78.1,0,6.59,0,150.92,0,0,0,0,0,109.39,0,0,0,0,0,0,0,0,2210.36,50.36,0,0,682.36,0,3.1,4.94,0,62.53,0,12.45,0,0,0,0,0,0
 14-21,0,0,1.69,7.81,48.55,15.84,0,39.53,0,0,0,7.59,2.24,7.45,1.13,0,0,2.09,38.16,0,0,21.04,415.01,15.83,3.7,0,15.71,0,6,0,85.88,4.07,21.92,75.27,141.04,0,0,2.51,0,0
 24-34,0,0,0,0,5.41,0,0,3.67,0,0,0,1.24,0.67,0,1.04,0,0.82,2.41,11.35,0,0,6.38,100.66,0.66,0.71,0.61,0,0,13.92,0,0,0,0,1.23,30.1,0,0,1.77,0,3.57
 36-46,0,0,0,0,0,0,0,2.56,0,1.03,0,5.4,0,0,0.56,18.02,0,0,5.27,0,0,1.3,89.02,0.6,1.92,0,0,0,11.11,0.65,0,0,0,0,14.66,0,0,3.83,0,0
 48-58,0,0,0.42,0,0,0,0,4.3,0,0,0.7,2.36,2.4,0,0,0,0,1.08,8.69,0,0.43,2.06,44.9,0,0,0.42,0,0.56,8.17,0,0,0,0.48,0,12.61,0,0,14.33,0,0
 60-70,0,0,0,0,0,1.4,0,0,0,0,0.87,3.97,0,0,0,0.6,0,0,9.44,1.76,0,0,14.02,0,0,0,0,1.08,12.61,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.49,1.44,0,10.8,0,0,0,3.72,0.51,0,0.9,2.85,0,0,2.14,0.58,0,0,10.3,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,1.11,0,0
 84-94,0,0,0,0,0,1.6,0,1.38,0,0,0,11.24,0,0,0,1.25,0,0,0,0,0,0,2.46,0,0,0,0,0,10.4,0,0,0.7,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,4.43,0.6,0,0,0,0,0,12.34,0,0,0,8.02,0,0,0.68,2.99,0,1.56,6.88,0,0,0,0,0,5.87,0,0,0.87,0,0,0,1.02,0,3.61,1.33,0
108-118,0,0,0,0,2.4,0.49,0.5,0.59,0,0.67,0,10.58,0,0,0,2.35,0,0,0.76,0,0,0,9.35,0,0,0.43,0,0,9.73,0,0,0,0,0,0,0,0.75,0.74,0,2.32
120,0,0,0,0,0,4.88,0,0,1.58,1.44,0,5.73,0,0,0,11.59,0,0,6.13,0,0,0,5.53,0,0,1.86,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
