stage,blastomeres,epidermis,erythrocytes,eye,glial,hatching.gland,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.83,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.77,0,0,31.92,0,10.26,0,0,0
 10-12,0,0,0,10.86,0,0,0,0,7.57,0,4.63,0,0,0
 14-21,0,0.9,1.08,1.95,0,0,0.89,0,9.73,0,0,0,4.16,0.81
 24-34,0,0,0,2.41,0,4.49,0.62,0,23.32,0,0,2.81,9,0
 36-46,0,0.88,0,0,5.56,0,0,0,35.84,0,0,0,7.46,0
 48-58,0,0,0,7.92,13.53,0,0.43,0,55.16,0,0,0,6.18,0
 60-70,0,0,0,29.85,10.13,0,1.14,0,83.02,0,0,0,2.3,0
 72-82,0,0,0,28.47,10.76,0,0,0,44.18,0.91,0,0,5.74,0
 84-94,0,0.71,0,26.1,4,0,1.01,0.59,23.57,0,0,0.67,12.98,0
 96-106,0,0,0,15.04,4.96,0,5.49,0,30.18,0,0,0,0,0
108-118,0,0,0,20.44,4.08,0,1.05,0,28.8,0,0,0,9.2,0
120,0,0,0,12.5,6.98,0,0,0,24.37,0,0,0,0,0
