stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,11.1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.6,0,0,0,0,0,0,0,0,22.74,0,18.15,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,48.45,0,75.4,0,0,17.25,0,0,0,0,0
 14-21,0,0,5.98,4.33,0,0,0,0,0,0,32.7,0,20.22,13.37,0,0,1.46,2.49,0,2.13,2.04,0,0,0
 24-34,0,0,0,0,4.51,0,1.67,0.81,0,0,72.03,0,34.14,33.24,1.5,0,0.8,1.79,0,0,3.81,0,4.06,0
 36-46,0,0,0.56,0,0,0,0,1.51,0,0,8.8,1.72,1.32,6.23,0,0,0,0,0,0,0.78,0,0,0
 48-58,0,0,0,0,2.74,0,0,1.02,0,0,16.57,7.53,2.61,14.37,0,0,0,0,0,0,5.14,1.28,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,6.77,2.88,0.64,22.56,0,0,0,0,0,0,1.51,0,0,0
 72-82,0,0,0,0,1.26,0.68,1.53,0,0,0,4.9,0,1.53,17.57,0,0,0,0,0,0,4.75,0,7.59,0
 84-94,0,0,0,0,0.73,1.89,0,0,1.07,0,3.85,1.73,0,25.34,0,0,0,0,0,0,0,0.71,1.03,1.98
 96-106,0,0,0,0,21.88,4.11,4.17,0,0,0,6.19,0,0,44.47,0,0,0,0,0,0,6.5,0.93,7.21,1.5
108-118,0,0,1.94,0,5.99,0,0.53,0.89,0,0.56,3.87,0,0,21.08,0,0,0,0,0,0,2.65,1,0,0
120,0,0,0,0,21.41,0,0,0,0,0,0,0,0,45.32,0,0,0,0,0,0,0,0,0,0
