stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,heart,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature
  3-4,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,20.08,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.41,0,0,0,0,0,9.25,0,0,12.33,0,0,0,0,0
 10-12,5.21,0,0,4.65,0,0,0,0,0,0,0,0,20.53,10.13,0,3.24,0,0,0,0,0
 14-21,0,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0
 24-34,0,0.76,0,0,0,2.71,0,0,0,0.66,0,0,1.89,0,0,0,0,1.45,0,0,0.68
 36-46,0,0,0,0,0,2.37,0,0,0,4.07,0,0.6,0,0,2.08,0,10.51,0,4.23,0,0
 48-58,0,0,0,1.65,0,0.99,0,1.08,0,0.72,0,0,14.6,0,0,0,0.38,0,0.6,0,0
 60-70,0,0,0,1.44,0,1.17,0,0,0,1.92,0,0,0,0,0,0,15.45,0,0.92,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,4.99,0,0,0,0
 84-94,0,0.61,0,0,0.58,1.29,0,0,0.73,0,0,0,0,0,0,0,6.47,0,0,0,0
 96-106,0,0.65,0,0,0,0,0,0,0,0.91,1.75,0,1.45,0,0,0,1.9,0,0.87,0,0
108-118,0,0,0,0,0,0,0,0,0,0.94,0,0,1.2,0,0,0,0,0,0,0.9,0
120,0,1.36,0,0,2.23,0,0,0,0,16.71,0,0,0,0,0,0,4.64,0,0,0,0
