stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.4,2945.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.9,0,0,0,0,0,0,0,0,0,0
  5-6,0,360.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.53,0,0,0,0,17.02,0,0,0,0,0,0,0,0,0,0
  7-9,0,34.11,0,16.42,0,0,0,268.56,0,0,0,0,0,27.1,0,0,0,0,0,0,0,0,0,0,0,528.31,5.25,0,0,17.26,0,5.11,0,0,0,0,0,0,0,0,0
 10-12,0,30.38,0,30.94,0,0,0,185.13,0,0,0,0,0,9.7,0,0,0,0,0,0,0,0,0,0,0,2588.59,0,0,0,184.34,0,0,9.68,3.81,0,0,0,0,0,0,0
 14-21,0,0,2.28,4.42,109.21,3.29,0,35.66,0,9.21,0,35.16,1.38,0,3.39,0,0.97,0,0,0,0,30.47,0,0,5.06,4450.13,14.05,1.54,30.16,25.04,2.02,3.38,8.02,0,5.67,7.46,1185.54,0,0,0,0
 24-34,0,0,5.63,1.71,65.52,0.68,0,81.37,0,21.24,0,52.12,2.55,0.67,1.22,0,5.97,2.08,2.84,4.2,0,53.17,1.58,1.66,13.1,10848.98,1.27,5.66,16.59,0,1.47,0,0,0.97,10.55,4.61,2076.51,0,5.4,0,1.18
 36-46,0,0,2.83,0,23.54,0.77,0,87.87,0.68,23.18,1.45,147.2,1.99,0,0,2.93,0,0,2.8,0.59,5.21,43.88,0,0.71,10.18,12435.92,5.25,5.25,13.58,0,5.85,0,0,2.78,0,0,2899.41,0,28.64,0,1.94
 48-58,0.39,0,0.39,0,31.39,1.93,0,267.72,1.78,3.28,3.06,233.43,0,0.93,1.74,0.47,4.43,19.61,2.34,4.18,0,69.76,0.39,2.52,6.27,8730.51,0,3.92,10.4,0,10.03,0,0,0.96,0.89,0,2387.05,0,6.53,0.9,9.2
 60-70,0,0,3.16,0,11.82,0,0,249.23,2.8,0,0,99.83,0.9,0,0,8.8,3.26,0,0.59,4.62,0,25.06,0,0.6,4.14,5512.59,1.49,0.96,6.15,0,0,0,0,4.73,1.71,0,942.33,0,1.79,5.53,12.53
 72-82,0,0,4.63,0,24.11,8.65,0,278.13,0,0.56,0.78,78.13,1.42,0,0,0.53,5.23,2.51,2.45,0,3.31,84.92,0,4.26,9.18,4637.96,0,2.58,16.63,0,0.75,0,0,0,0,0,716.4,0,5.07,1.55,8.12
 84-94,0,0,3.66,0,26.67,0,0,314.77,0.56,13.71,0,60.76,0.91,0,2.09,0,7.77,2.97,2.69,0,0,84.75,0,11.8,5.34,3205.01,0,0,16.9,0,2.34,0,0,0,0,0,404.5,2.34,2.98,2.53,26.12
 96-106,0,0,0,0,26.46,0.63,0,211.87,0.6,0.69,15.27,63.34,1.03,0,0,0,5.51,3.16,1.2,7.13,0,50.07,0,1.14,6.96,2353.01,0,0.89,14.67,0,0,0,0,0.73,0,0,283.89,0,4.74,3.69,0.73
108-118,0,0,1.82,0,30.43,0,3.03,171.35,1.47,1.78,1.5,68.15,5.9,0,5.22,1.33,12.75,1.36,0.51,2.02,0,54.19,0,0,0,2686.48,0,8.04,15.91,0,2.64,0,0,0,0,0,177.28,0,9.66,0,0
120,0,0,0,0,17.77,1.27,7,219.91,12.08,1.11,12.74,53.85,9.99,0,0,0,3.83,0,2.13,0,0,50.28,0,0,1.64,2809.13,3.31,6.48,27.72,0,0,0,0,0,0,0,191.69,0,0,0,0
