stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,26.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.64,0,0,0,31.19,0,0,0,0,0,10.97,0,0,0,0,0,0,0,0,0,128.41,9.91,0,0,40.62,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,8.68,0,0,0,0,0,7.83,0,0,0,0,0,0,0,0,0,55.44,7.43,0,0,41.98,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.93,6.53,4.53,0,4.14,0,0,0,1.29,0.85,0,0,0,0,0,0,1.01,9.76,0,3.1,25.29,1.83,0,2.77,0,0,0,6.73,0,14.01,11.74,0,0,0
 24-34,0,0,0,3.84,0,0,2.02,0,0,0,4.33,0,0,0,0,2.42,0,0,0.69,3.98,0,2.32,40.76,1.31,0,1.16,0,0,0.83,0,0,2.88,16.04,0,7.91,2.64
 36-46,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0.74,0,0,8.42,0,1.42,21.79,0,0,0,0,0,0.99,0,0,0,11.4,0,0,0.56
 48-58,0,0,0,0,0,0,4.72,3.35,0,0.83,1.95,0,0,1.36,1.04,0.38,0,2.1,0.48,17.37,1.11,0.42,33.85,0.85,0,3.97,0,0,0.67,0,0,0,4.25,0,3.39,0
 60-70,0,0,0,0,0,0,11.86,0,0,0,0.97,0,0,1.51,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,4.52,0,0.89,0
 72-82,0,0,0,1.49,0.96,0,7.38,0,0,2.28,2.63,0,0,0.58,0,0.74,0,0,0,10.1,0,2.75,8.12,0.5,1.45,1.16,0,2.36,0,0,0,0,0,0,2.04,0
 84-94,0,1.18,0,4.73,5.27,0,2.76,0,0,1.4,6.44,9,0,0,3.43,1.67,0,1.83,0,19.79,0,4.71,9.86,0.56,0,0,0,0,6.75,0,0.64,0,0,0.82,7.68,3
 96-106,0,0,0,0,0,0,0.57,0,0,0,4.41,1.06,0,0,1.71,0,1.03,0,0,12.91,0,0.62,16.7,0,0,0,0,0,1.19,0,0,0,0,0,0,0
108-118,0,0,0,8.95,1.41,2.97,3.18,0.55,5.31,0.74,7.75,3.66,0,0,6.13,2.33,0,4.2,0,20.92,3.66,2.75,14.43,0,0,4.45,0,0,5.46,0,0.54,0,0,1.65,10.19,0
120,0,0,0,2.12,0,0,0,0,1.23,0,6.38,0,0,0,8.61,0,0,0,0,5.63,0,0,0,0,0,0,0,0,1.49,0,0,0,0,0,0,0
