stage,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,somites,spinal.cord,taste
 10-12,0,0,0,0,0,0,0,0,0,0,9.52,0,0,0,0,0,0
 14-21,1.87,0,0,0,1.23,0,0,1.06,0,0,5.48,0,0,1.52,0.86,3.49,0
 24-34,0,3.12,0,0,0,0,0,2.71,0,0,16.84,0,1.07,3.51,0,4.66,0
 36-46,0,3.31,0,0,0,0,0,1.16,0,1.15,19.75,0,0,2.49,0,3.76,0
 48-58,0,6.12,0,0.67,3.03,0,0.5,0.69,0,0.44,29,0,0,0.84,0,2.37,0
 60-70,2.36,6.7,0,0.7,3.2,0,0,0.7,0,0,9.38,0,0,1.49,0,0,0
 72-82,0.94,7.23,0,0,3.32,0,0,2.25,0.56,0,16.13,0,0.84,6.33,0,1.06,0
 84-94,0.56,5.15,0,0,6.29,0,0,2.72,0,0,12.59,8.8,0,11.28,0,0.65,0
 96-106,7.86,6.69,0,0,0,0,0,0,0,0,6.17,2.11,0,20,0,0,0
108-118,8.04,2.05,0.42,0,0,0.49,0,0,0.77,0,5.66,0,0,7.95,0,0,1
120,4.74,9.62,0,0,0,0,0,0,0,0,12.93,1.57,0,17.69,0,0,0
