stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,31.84,334.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.69,648.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.16,0,0,0,17.56,0,16.47,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.9,22.27,0,44.26,0,0,53.59,0,0,0,0,35.07,0,0,0,0,0,0,0,0,0,0,0,436.2,26.09,0,0,119,0,0,6.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,40.85,0,53.18,0,4.67,33.02,0,0,0,0,26.76,0,0,0,0,0,0,0,0,0,0,0,547.68,72.04,0,0,162.43,0,0,0,0,17.65,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.62,4.33,2.19,1.11,0,0,4.27,2.04,1.67,0,0,2,0,0,0,0,4.77,0,0,3.56,39.79,2.59,2.41,2.78,0,0,0,0,11.13,1.01,0,6.69,14.57,0,0,0,0,0
 24-34,0,0,0.67,0.65,4.1,0,4.53,0,0,2.11,1.08,0,0,0,0.69,0,0,0,0,6.6,0,0,4.58,97.14,0,3.74,0.78,0,0,4.48,0,0,0,0.87,1.39,20.22,0,0,0,0,0
 36-46,0,0,0,0,4.42,0,17.26,0,0.79,2.78,1.39,4.78,0,0,0.83,0,0,0,0,7.17,0,0,4.39,69.17,0.58,0.59,0,0,0,5.67,0,0,0,0,0,16.44,0,0,5.92,0,0
 48-58,0,0,0,0,0.84,0.46,12.37,3.52,0.91,4.71,0,0,0.65,0.57,0,0,0.5,0.39,0,9.89,0,0.4,2.1,51.7,1.27,1.69,0,0,0,7.33,0,0,0,0,0,7.61,0,0,0.48,0,0
 60-70,0,0,0,0,3.73,1.29,50.61,3,2.64,10.11,0,0,0,0,0,0,0,0,0,20.66,0.67,0,0.68,39.21,0,1.48,0.63,0,0,7.34,0,0,0,3.45,0,6.36,0,0,0.64,0,1.39
 72-82,0,0,1.25,0,1.71,7.46,32.24,2.06,0.75,7.04,0,0,0,0,3.54,0,1.87,0,0,23.16,0,0.63,1.57,47.67,0,2.07,0.49,0,0,4.43,0,0,0,0,0,0,1.01,0,2.05,0,4.14
 84-94,0,0,0,0,1.32,9.94,32.09,0,8.34,9.28,0,0,0,0.82,1.25,0.88,1.05,0,0,11.14,1.62,0,0,45.83,0,1.1,2.05,0,0,6.81,1.4,0,0,0,0,3.34,0,0,5.51,2.23,0
 96-106,0,0,1.37,0,5.5,11.37,55.88,1.84,10.68,12.34,1.35,0,0,4.14,0.77,0,0,0,0.67,25.77,0,0,0,18.76,0,2.65,3.87,0,2.14,10.61,0,0,0,0,0,1.23,0,3.16,2.62,0,0
108-118,0,0,0.62,0,2.06,0.92,43.97,0.79,3.1,13.62,1.1,0,0,2.53,0.96,0.99,0,1.06,0,24.45,0,0,0,58.3,0.6,0.64,0.72,0,3.03,9.98,0,0,0.58,0.43,0,3.63,0,0,0,0.48,0
120,0,0,2.94,0,4.89,8.4,23.48,0,5.69,17.02,5.73,0,0,3.11,0,4.95,0,0,0,22.82,0,0,0,68.86,0,15.75,9.8,0,0,9.2,0,0,0,0,0,0,2.39,0,0,0,0
