stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,176.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.88,82.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.07,0,0,0,6.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.6,0,12.15,0,0,0,12.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.24,3.89,0,0,8.33,4.24,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.09,1.32,21.45,11.73,0,4.32,0,0,0,1.25,0,3,0,0,0,0,0,4.14,0,1.92,13.31,0.92,0,0.84,0,0,0.97,27.88,7.63,5.73,0,0,38.18,0,0
 24-34,0,0,0,0,2.21,4.87,0,4.82,0,0,1.98,0.63,0,8.66,0,0,0,3.81,0,1.84,0,1.29,26,0,0,0,0,1.63,0,71.17,0,9.16,0,0,284.22,0,0
 36-46,0,0,0,0,0,9,0,10.56,2.03,0,0,0.72,0,7.1,0,0,0,12.18,0,4.55,0,0.65,8.8,0,0,0,0,0,0,76.3,0,5.25,0,0,214.43,0.78,0
 48-58,0,0,0,0.98,0,0,0,13.8,0,0,0.38,6.27,0,3.74,0,0,0.45,35.33,0,1.22,0.72,0,37.29,0.41,0,0,0,1.19,0,11.27,0,2.02,0,0,209.32,0,0.85
 60-70,0,0,1.23,0,2.12,0,0,12.09,0,0,0,16.78,0,2.48,1.56,1.16,2.24,52.5,0,5.14,0,0,18.54,0,1.54,0.78,0,1.72,0,24.57,0,0,0,0,227.87,0,0
 72-82,0,0,3.65,4.82,1.48,0,1.73,39.9,0,0,2.54,29.65,0.6,5.05,1.1,0,10.53,60.13,0,11.74,0,2.01,36.34,0,4.26,1.12,0,4.02,0,29.25,0,2.97,0.5,0,219.37,5.58,0
 84-94,0,0,9.82,18.87,5.71,0,0.86,42.27,0,0,4.52,63.36,0,7.06,6.08,0,2.48,115.05,0.67,6.81,0,0,17.4,0,1.83,0,0,5.71,0,90.03,0,8.05,0.71,0.74,267.5,3.48,0
 96-106,0,0,8.97,22.61,10.44,2.11,11.47,22.66,1,1.65,5.46,92.41,0,7.49,16.48,0,4.72,142.14,0,17.59,1.42,4.66,44.29,0,5.76,2.18,0,6.86,0,63.15,0,0,0,2.45,250.13,4.38,11.17
108-118,0,0,12.19,29.47,12.8,7.18,6.36,25.94,0.6,0,16.38,83.36,0,9.78,4.89,0.63,7.57,212.85,0,38.77,0,0,51.88,0,7.47,0.67,0,4.49,0,56.94,0,0,0,0.53,281.03,4.88,1.15
120,0,0,20.9,23.49,3.79,17.01,1.14,34.23,0,0,28.83,87.56,0,6.92,15.54,0,22.92,219.07,0,43.08,0,0,116.48,4.62,1.91,3.89,0,6.93,0,36.76,0,0,0,0,281.96,0,0
