stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,181.39,0,0,0,0,0,0,0,0,0,4.06,0,0,0,3.48,0,0,0,0,0,0,0,0,0,0,0
 10-12,18.38,0,66.18,0,0,129.27,0,0,0,123.19,0,0,0,0,0,0,0,0,0,575.75,9.17,0,0,0,0,0,0,0,0,0,6.84,0,0,0,0
 14-21,0,80.47,83.63,25.45,0,40.62,0,184.15,0,0,0,0,0,0,0,0,3,0,1.07,1531.49,3.66,0,0,0,0,0,0,2.76,0,0,0,965.95,0,0,0
 24-34,0,80.23,10.06,14.35,0,11.79,0,200.62,0,0,0.68,0,0,0,6.42,0,1.74,0,3.22,2258.47,0,1.22,0,0,0,2.61,0,0,0,0.83,1.52,1080.08,0,8.13,0
 36-46,0,23.3,0,0.92,0,25.34,0,456.61,0,0,0,0,0,0,0,0,2.87,0,0,2626.27,0,0.68,0.84,0,0,1.58,0,0,0,0,0,1048.84,0,5.92,3.08
 48-58,0,7.95,0,9.6,7.12,62.24,0.4,591.42,0,0,0,3.37,0,0,0,12.36,10.48,0,2.57,2395.23,0,1.49,0,0,0,2.29,0,0,0,0,0,449.86,0,1.02,2.6
 60-70,0,9.24,0,0,0,78.47,0,695.81,3.54,0,0,16.26,0,0,1.18,0,21.67,0,5.08,1839.31,0,0,0,0,0,0,0,0,0,0,0,180.48,0,0,2.89
 72-82,0,85.71,0,7.23,7.23,92.52,0.88,582.01,29.91,0,0,0,0,1,2.96,0,20.25,0.75,0,986.21,0,0,0,0,0,3.41,0,0,0,0,0,65.26,0,0.9,9
 84-94,0,99.55,0.57,2.08,12.38,85.1,0,548.49,37.95,0,0,0,1.07,0.87,5.29,0,21.44,5.82,2.88,748.67,0,0,0,0,0.57,3.73,0,0,0.7,0,0,45.04,1.59,0,5.82
 96-106,0,86.6,0,4.4,6.6,69.97,0,348.4,55.18,0,0,1.73,0,1.28,2.9,0,10.52,0,0.6,470.09,4.28,0,0,0,0,6.82,1.35,0,0,0,0,22.1,0,0,3.22
108-118,0,69.22,0,5.61,3.14,46.75,0,435.58,62,0,0,0.55,4.59,0,9.57,0,20.94,0,2.27,793.94,0,0,0,0,0,4,0,0,0,0,0,22.67,0,1.44,6.66
120,0,54.28,0,3.18,2.63,75.75,0,562.93,8.64,0,0,0,0,0,0,0,11.92,0,1.04,1252.06,0,0,0,0,0,0,0,0,0,0,0,22.29,0,0,0
