stage,axial,blastomeres,eye,glial,heart,iridophores,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,spinal.cord
  3-4,41.85,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.03,42.8,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.27,0,0,0,0,0,0,5.42,4.45,0
 10-12,0,0,4.46,0,0,0,0,0,13.39,0,0,0
 14-21,0,0,0,0.88,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.95,0,0,0,0
 36-46,0,0,3.09,0,0.75,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,3.19,0,3.07,0,0,1.34
 60-70,0,0,0.91,0,0,0,5.62,0,0.9,0,0,2.77
 72-82,0,0,7.63,0,0,0,1.69,0,0,0,0,0
 84-94,0,0,1.64,0.84,0,0,2.96,0,0,0,0,0
 96-106,0,0,0,0,0,0.95,8.76,0,0,0,0,0
108-118,0,0,0,1.22,0,3.02,1.15,0,0,0,0,0
120,0,0,0,0,0,0,0,0,14.79,0,0,0
