stage,axial,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,xanthophores
  3-4,0,10.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23,0,0,0,0,0,0
 14-21,0,0,1.04,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,21.7,0,25.89,0,0,3.39,0.66,0,0,0,0,0,0,0,3.86,0,0,0,0,0,0
 36-46,0,0,85.12,0,73.02,0,0,0,0,0,3.64,0,0,0.6,0,0,6.15,1.78,0,0,1.25,2.75,0
 48-58,0,0,45.89,0.43,111.85,0,0.49,0.88,0.81,0,7.45,0.5,1.04,1.04,0,0,6.43,0.73,0.69,0,0,2.36,0
 60-70,0,0,26.1,0.6,66.54,0,2.78,0,3.13,0,10.41,0,0,0.58,0,0,2.52,0,0,0,0,0,0
 72-82,0,0,34.02,0,73.91,0,0,0,8.74,1.56,11.55,3.16,3.79,1.76,0,0,8.09,1.67,2.16,0,0,6.5,0
 84-94,0,0,57.54,1.64,105.66,0,0,0,1.63,0,16.51,1.58,6.68,0,0,0,2.01,0,2.8,0,0,0,0.7
 96-106,0,0,50.99,10.48,79.26,0,0,0,20.86,0.8,18.16,3.65,3.09,2.95,0,0,10.19,2.16,0.77,0,1.26,0,0
108-118,0,0,67.94,1.84,120.52,0.65,0,0,12.63,4.88,27.96,3.88,4.12,0,3.27,0.42,0.61,1.15,0.53,0,4.56,0,0
120,0,0,44.05,0,77.33,0,0,0,36.13,1.01,1.01,0,0,0,0,0,4.85,0,0,0,7.04,0,0
