stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.11,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0.87,0,0,0,0,0
 24-34,2.64,0,0,378.63,0,0,0.98,0,0,0,0.67,0,0,0.75,39.77,0.66,0,0,2.43,0,3.77,0,0,0,0
 36-46,10.27,0,0,1386.92,0,0,2.35,0,2.16,0,3.75,0,0,0.62,64.16,0,0,0.83,0,0,8.01,0,0,0,0
 48-58,0,0,0,1194.74,0,0.38,1.89,3.3,0,0,10.02,0,0,0.57,43.98,12.83,0,0.67,1.5,0,16.37,0,0.4,0,6.96
 60-70,3.13,0,0,2179.71,0,0,0.76,0,0,0,6.54,2.07,0,3.01,30.66,12.05,0,0,0,0,10.92,0,0,0,0
 72-82,0,1.11,0,1690.19,0,0,6.2,0,0,0,3.96,0,0,0,21.32,0,0,0,15.38,0,2.43,0,2.48,0.59,7.99
 84-94,0,0,0,1107.6,0,0,7.99,0,0,0,9.36,0,0,0,12.51,0,2.97,0,0,0,1.15,0.9,0,0,0
 96-106,4.48,0,0,522.64,9.9,0,0,0,0,0,13.02,0,0,0,2.26,0,0,0,1.31,0,0,0,0,0,5.75
108-118,0,3.44,1.37,708.61,0,2.11,2.68,0,0,0,4.96,0,3.12,1.38,23.72,1.12,0,0,0.49,0,0,0,2.28,0,5.68
120,0,0,0,471.77,0,0,14.68,0,0,1.85,0,0,0,1.91,43.56,0,0,0,0,0,0,0,0,0,0
