stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.71,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.77,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,24.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99,0.88,0,0,0,0
 24-34,0,0,0,0,270.6,0,0,0,0,0,0,0,4.42,0,0,5.99,0,0,0,0,0,0,0.68,0.88,0.69,0,0
 36-46,0,0,0.85,0,322.79,0,0,0,0,0,0,0,0,0,0,4.66,0,0,0,0,0,0,0,5.4,0,0,0
 48-58,0,2.29,0.65,0,502.59,0,0,0,0,0,0,0,0,0,0.53,7.05,0,0,0,0.89,0.43,0,0,2.22,0,0,0
 60-70,0,0,0,0,813.65,0,3.27,0,0,0,0.85,0,2.09,0,0,12.06,0,0,0,2.93,0,0,0,1.26,0,0,0
 72-82,0,0,0,0,514.36,0,3.95,0,0,0,0,0,4.47,0.72,0.61,24.82,0,0,0,0,0,0,0,2.82,0,1.35,0
 84-94,0,0,1.04,0,1292.34,0,2.48,0.57,0.64,3.3,0,0,13.92,0,1.63,40.18,0,0,0,7.26,0,1.18,0,0,2.91,3,9.88
 96-106,0,0,0,2.82,1211.95,0,2.98,0,0,0,0.67,27.46,6.92,0,0,30.25,0,3.36,0,10.5,0,0,0,5.9,1.59,0,0
108-118,0,4.94,7.43,0.6,1350.52,4.75,10.2,0,0,0,1.89,1.69,13.43,0,0,42.28,4.46,0,2.05,8.26,0,0,0,3.02,2.59,0,17.98
120,0,0,0,0,481.65,0,7.55,0,0,0,0,6.26,14.14,0,0,4.15,0,6.97,0,2.99,0,0,0,0,0,0,0
