stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,heart,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.04,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0
 24-34,3.83,0,0,0,0,1.17,0,0,0,2.25,0,4.66,0,0,4.14,0,2.57,4.21,0
 36-46,2.58,0,0,11.38,0,0,0,0,0,0,0,0.62,0,0,6.71,0,1.24,2.11,0
 48-58,0.52,0,0,0,0,0,0.62,0,0,4.08,0,4.94,0,0,9.52,0,0,3.42,0
 60-70,6.48,0,1.11,0,0.93,0,1.66,0,0,0,0,0,0,0,11.56,0.58,0,5.41,0
 72-82,1.78,2.92,0,0,0,0.91,0,0,0,2.85,0,0,0,0,7.95,0,0,2.24,0.86
 84-94,2.14,0,0,4.06,0,0,0.73,0,0,1.78,0,0,0,0,10.9,0,0,6.05,2.78
 96-106,6.76,0,0,0,0,0.76,0.6,0,0,0,10.77,1.79,0,0,14.31,0,3.37,3.68,0
108-118,0.45,0,6.25,0,0,0,2.49,0.71,0.51,1.89,0,2.03,0,2.19,6.58,0,0,0.94,0
120,5.89,0,15.11,2.88,0,0,14.75,0,0,0,0,11.99,0,0,13.74,0,0,0,0
