stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,58.42,838.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.01,0,0,0,0,0,0,0,0,0,0
  5-6,43.49,782.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.44,0,0,0,0,0,7.54,0,0,0,0,0,0,0,0,0,0
  7-9,17.67,6.2,0,55.98,0,0,0,55.78,0,0,0,0,0,32.57,0,0,0,0,0,0,0,0,0,0,576.1,18.32,0,0,176.64,0,3.37,19.69,0,0,0,0,0,0,0,0,0
 10-12,0,12.62,0,26.59,0,0,0,40.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539.48,40.21,0,0,225.06,0,4.49,4.94,0,3.78,0,0,0,0,0,0,0
 14-21,0,0,0,1.9,28.45,4.29,0,3.68,0,0,0,2.73,1.26,0,0,0,0.92,0,0,0,3.43,6.49,0,8.73,51.52,2.72,1,2.37,3.28,0,90.75,0,8.66,3,6.53,32.92,0,0,2.34,0,0
 24-34,0,0,0,0,3.56,0,0,13.18,0,0,0.79,0.75,0.67,0,0.94,2.63,4.86,0,0.91,1.26,11.71,10.6,0,8.3,119.77,5.21,1.62,6.58,0,0,72.23,0,0,9.64,1.52,47.66,0,0,14.73,0,4.86
 36-46,0,0,0,0,1.92,0,0,10.61,0,0,0,2.94,0,0,1.06,15.66,0,0,0,3.96,39.36,24.82,0,0.56,95.6,4.67,1.95,2.79,0,0,87.28,0,0,2.91,0,27.25,0,0,13.6,0,2.78
 48-58,0,0,0,0,16.53,0,0,22.51,0,0.41,0,9.28,0,0,1.21,1.22,0.38,0.78,0.4,0.48,67.64,28.16,0,3.15,80.48,9.86,0.97,7.91,0,0,36.6,0,0,0.8,0,18.34,0,0,22.21,0,5.93
 60-70,0,0,0,0,0.58,0,0,44.37,0,6.82,6.16,46.56,0.85,0,0,10.88,0,0,4.38,1.63,5.05,22.07,0,2.09,84.12,0,0.83,12.53,0,0,39.69,0,0,0,0,8.63,0,0,9.38,0,7.37
 72-82,0,0,0.97,0,3.82,0.6,0,27.33,0,0,1.73,47.28,1.12,0,1.65,6.77,0,6.23,16.26,0,14.99,75.26,1.67,3.73,76.47,3.27,1.91,21.74,0,1.83,30.47,0,0,1.91,0,22.74,0,1.26,17.63,2.05,10.73
 84-94,0,0,1.16,1,7.08,0,0,43.98,0,0,3.02,38.18,1.54,0,0,12.18,1.01,2.73,4.09,3.72,11.74,32.83,0.85,0.66,66.84,1.84,0.93,16.27,0,3.05,97.83,0,0,11.8,0,5.23,0.97,2.08,5.64,0,12.91
 96-106,0,0,1.23,1.03,13.35,0,0.97,30.45,0,3.25,0,54.95,7.68,0,1.39,10.12,3.15,3.58,26.48,0.95,5.21,66.34,0.7,3.45,44.57,0.61,2.72,20.55,0,0,110.25,0,0,8.12,0,7.31,0,0,30,1.67,0.73
108-118,0,0,2.15,0,17.18,2.57,1.05,66.74,0.75,1.82,1.03,66.37,8.49,0,0,7.27,6.62,6.31,9.4,3.42,17.95,61,1.98,2.71,71.05,0,3.69,11.55,0,0,73.81,0,0,6,0,4.27,2.22,0,20.9,2.26,13.67
120,0,0,0,0,31.03,0,2.19,44.2,0,1.65,0,67.74,5.64,0,0,31.48,1.4,11.86,46.72,4.2,1.6,89.28,0,0,49.27,7.01,3.06,10.64,0,5.29,47.57,0,1.12,3.71,0,8.72,0,0,11.58,0,15.11
