stage,blastomeres,neural,notochord,paraxial_mesoderm,spinal_cord
  3-4,53.8,0,0,0,0
  5-6,160.62,0,0,0,0
  7-9,14.06,29.53,3.67,7.64,0
 10-12,0,14.46,14.88,11.44,0
 24-34,0,0.72,0,0,0.63
