stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,108.26,215.7,1.23,0,0,0,0,5.43,15.68,0,2.16,0,0,0,0,28.9,2.51,0,18.65,21.46,3.03,0,4.45,0.99,0,0,2.53,169.63,20.98,0,0,0,0,0
 24-34,53.11,58.91,0,0,2.26,0,0,0,28.97,0,1.01,0,0,3.33,1.23,60.48,0.83,0,16.32,60.39,0,0,0,0,0,0.71,0,459.3,15.95,0,0,0.64,0,1.57
 36-46,1.97,18.38,0,0,2.8,0,0,0,8.12,2.69,0,0.74,0,27.23,0,28.76,0,1.9,18.85,43.41,0,0,0,0,0,4.17,0,276.19,15.06,0,0,0,0,1.35
 48-58,0,6.2,0,0,11.75,0,0,1.01,3.58,0,0,0,0,3.95,0,52.09,0,1.94,11.76,50.39,0,0,0,0,0,0,0,163.71,8.94,0,0,0.43,0,1.32
 60-70,0,6.31,0,0,39.6,0,3.71,11.8,6.63,0,0,1.2,0,20.41,0,68.54,0,3.87,15.9,59.03,0.8,4.76,0,0,0,3.51,0,108.06,2.35,0,1.31,0,0,7.92
 72-82,0,2.16,0.75,0,90.67,0.56,2.2,11.04,13.72,0,0,1.65,0.97,5.72,0,68.91,0,2.62,12.19,95.75,0,0,0,0,0,0,0,46.74,0.65,0,4.04,0.62,2.92,11.92
 84-94,0,4.36,0,0,108.14,0,0,2.88,18.58,0,0,0.76,0,11.18,0,85.03,0,1.94,15.09,87.65,0,0,0,0,0,0,0,49.77,0,0,11.68,0.95,0.96,6.17
 96-106,0,1.15,1.39,0,146.08,3.86,2.91,11.82,21.92,0,0,27.4,0,58,0,90.3,5.3,14.02,2.57,116.45,0,0,0,0,0,4.69,0,23.64,2.82,0.72,6.46,0,4.62,11.07
108-118,0.49,2.71,0,0.49,180.4,3.18,0,12.45,32.9,0,0,23.17,1.23,141.96,0,72.51,0,3.63,1.32,104.05,0.62,0,1.97,0,0,2.96,0,13.74,1.77,0,1.23,0,0,24.76
120,0,0,0,0,121.38,0,0,54.04,15.72,0,0,27.05,0,71.39,0,46.05,0,15.22,11.43,128.44,0,0,9.92,0,4.48,0,0,5.38,17.6,0,0,0,0,4.71
