stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,27.3,634.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.26,0,0,0,0,0,0,0,0
  5-6,9.41,596.16,0,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,18.98,0,0,0,16.63,0,0,0,0,0,0,0,0
  7-9,7.42,32.74,40.28,0,0,73.99,0,0,0,0,0,34.98,0,0,0,0,0,0,0,0,0,819.32,19.39,0,173.58,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.8,17.82,0,0,24.65,0,0,0,0,0,17.56,0,0,0,0,0,0,0,0,0,257.89,8.65,0,59.22,0,3.3,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.45,0,0,0,0,0,0.91,0,0,0,0,0,0,0,1.87,0,0,3.11,29.18,0,0,0,0,0,0.9,5.02,8.56,0,0,0,0,0
 24-34,0,0,0,0.7,0,3.01,0,0.62,2.56,0,0,0,0,0,0,0,0,18.54,0,0,5.73,32.36,0.63,0,0,0,0,0,1.5,11.47,0,0,7.27,0,1.12
 36-46,0,0,0,0.63,0,0,0,0,2.69,0,0,0,1.05,0,0,0,0,26.33,0,0,5.95,19.52,0.66,0,0,0,0,0,0,18.33,0,0,14.12,0,5.54
 48-58,0,0,0,0,0,0,0,0,2.14,12.09,0,0,0,0,0,0,0.7,28.22,0,0.63,2.24,18.89,0,0,0,0,0,0,0,5.99,0,0.42,6.94,0,8.72
 60-70,0,0,0,0.56,0,0,0,0,0.88,25.44,0,0,0.78,0,0,0,0,56.27,0,1.97,7.86,36.12,5.47,0,0,0,0,0,0,7.18,0,1.22,6.89,0,30.41
 72-82,0,0,0,2.2,9.88,9.52,0,2.97,0.75,13.64,1.05,0,0.86,0,2.71,0.66,0,81.24,1,1.71,2.06,33.07,0,0,0,1.03,0,0,0,1.05,0,5.57,7.79,6.38,5.67
 84-94,0,0,0,4.85,4.99,14.63,10.56,2.15,0,8.93,1.33,4.06,0,0,0,0,0,56.3,0,0.72,3.69,14.62,0,0,0,0,0,0,0,16.09,1.86,0,1.48,3.94,1.77
 96-106,0,0,0,5.17,4.85,0.75,0,0,0,10.73,3.53,0,0.75,0,0.96,1.08,0,48.37,1.47,1.24,2.52,30.73,0,0.93,0,4.28,0,0,0,6.58,0,4.58,10.59,6.23,2.51
108-118,0,0,1.1,6.25,0,12.3,0,0.95,0,9.91,0,0,0.69,0.44,1,0,1.88,65.68,0,0.93,1.75,6.97,0.51,0,0,1.14,0,0,0,6.28,1.33,4.51,13.68,1.21,3.16
120,0,0,0,5.31,2.94,0,0,1.41,0,12.63,0,0,0,0,0,0,1.79,46.63,0,10.79,0,18.01,0,0,0,0,0,0,0,0,0,3.38,8.14,3.77,3.58
