stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,42.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.78,0,0,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,5.23,0,0,0,0,0
 24-34,0,0,0,17.77,0,0,12.25,0.9,1.81,2.18,0.75,0.59,0,0,0,0,0,3.4,13.15,0.7,0,0,1.45,16.63,10.62,0,0,0,37.66,0,0,3.08,6.17,5.31,23.39,0,0,2.87,0,0
 36-46,0,0,0,20.04,0.66,0,33.36,6.48,3.59,7.12,0.87,0,0,2.56,0,0,0,5.07,0,6.07,0,0,1.77,30.61,6.49,0,0,0,24.92,0,0,3.34,0,1.52,12.12,0,0,0,0,0
 48-58,0,0,0,9.7,0,0,16.9,0.53,1.71,14.21,3.88,6.17,0,0,0,0,0,7.96,0.43,11.56,0,2.33,4.58,68.68,9.27,0.91,0.43,3.66,30.84,0,0,4.37,0,0,20.45,0,0,0.96,0,9.48
 60-70,0,0.7,0,3.71,0,0,38.39,0.89,1.79,6.96,6.55,6.96,0,5.52,0,0.7,0,11.56,0,22.91,0,0.68,1.11,84.15,1.33,9.11,1.52,0,17.05,0.85,0,3.99,0,0,7.5,0,0,0,0,0
 72-82,0,0,0,1.71,6.29,6.4,33.52,4.33,2.82,7.73,10,27,0,1.99,4.74,0.53,0.99,101.35,0,27.11,0,0.67,5.11,130.53,0.58,0,1.47,0,9.92,0,0,7.7,1.5,0,7.77,0.97,0.5,0,4.09,0
 84-94,0,1.18,0,4.35,0.71,21.93,33.37,1.98,1.12,8.16,6.22,19.44,0,4.38,9.39,4,0,130.84,0,48.41,0,3.61,3.74,99.15,2.88,1.11,8.22,0,41.78,0,0,39.25,0,0,4.86,1.47,2.5,3.43,1.31,0
 96-106,0,0.88,1.61,6.98,1.27,42.37,33.12,1.41,9.9,4.42,11.73,17.14,0.68,4.88,0.83,0,0,147.31,0,30.41,0,0.66,12.77,112.54,3.17,0,3.44,0,28.24,3.82,0,27,0,0,6.55,0,0.77,0.6,2,0
108-118,0,0,0,5.41,3.17,42,44.72,2.56,0,3.54,15.87,12.35,0,1.46,12.27,0,0,379.23,0,40.72,0,0,3.72,124.96,0,0.81,1.78,0,18.39,0,0,25.39,0.69,0,8.78,0,0.5,2.16,0.44,0
120,0,14.01,0,0,2.02,4.52,59.36,1.66,1.62,0,4.95,4.89,0,14.44,5.66,0,0,130.93,0,10.22,3.54,0,2.72,98.21,0,0,0,0,13.24,0,0,13.07,0,0,0,0,0,0,0,0
