stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.8,177.02,1.28,3.27,0,1.17,0,0,1.28,0,0,0,0,0,0,3.37,0,4.64,0,0,8.14,31.64,0,0,0,0,0,0.9,4.08,0,2.78,6.26,0,0,0,0,0
 24-34,1.49,128.05,0,5.09,0,7.84,0,0,0.61,0,0.69,0,0.78,1.94,0,0,0,27.04,1.53,0,5.69,64.98,0.77,0,0,0,1.96,0,0,0,2.84,4.66,0,0,10.36,0,0
 36-46,0,62.91,2.92,6.33,0,30.27,2.4,0.99,0,0,1.85,0,6.81,0,0,0,2.56,35.92,0,0,4.51,45.89,0,0,0,0,3.28,0.81,0,0,0,8.09,0,0,3.45,0,0
 48-58,0,66.27,0,35.68,0.8,7.9,8.71,12.85,0,2.69,0,0,0.39,0,0,0.6,4.55,26.28,0.5,1.92,3.79,67.45,0,0,0.48,0,0.78,0,0,1.57,0,12.83,0,0.79,9.12,0,0.99
 60-70,0,59.56,0,36.43,0,30.84,0.98,15.54,0,4.48,1.17,0,0,0.63,0.8,0,0,31.58,0.62,0,5.37,69.59,0.62,0,0,1.19,0,0,0,0,0,1.84,0,0,10.02,0,1.87
 72-82,0,25.7,6.96,21.03,0,17.19,9.46,7.06,6.38,0.5,0,0,0,0,0,3.33,0.94,53.13,3.28,1.42,2.4,79.67,0,1.29,1.62,0,0,0,0,0,0,0,1.87,0.5,22.85,0,1.16
 84-94,0,65.87,0.71,16.44,0,31.88,2.2,2.34,4.84,5.99,0,1.81,0,0.57,0,4.47,4.51,48.92,0,6.86,4.05,67.49,0,1.37,1.81,0,0,0,0,0,0,2.91,1.52,0.88,26.59,0,0
 96-106,0,43.84,4.38,20.18,0,11.63,2.05,8.37,14.31,0,1.61,0.87,0,0,1.78,1.13,2.87,59.25,0.81,3.79,0.9,33.92,0,0,0,0,0,0,0,0,0,1.82,0,2.5,29.6,2.63,0.63
108-118,0,83.83,4.67,22.46,0,32.24,4.64,22.48,19.04,0,0,0,0.98,1.15,0,5.69,0,75.25,6.96,4.13,2.45,52.33,0.56,1.4,3.59,1.19,0.47,0,0,0,0,2.4,0,0,16.19,0.44,1.64
120,0,146.12,0,30.38,0,26.5,1.6,13.61,34.04,0,0,2.78,1.65,0,0,0,0,59.3,1.15,0,0,45.11,0,0,9.15,0,0,0,0,0,0,0,1.47,5.29,24.48,0,0
