stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,14.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.96,0,0,0,0,0,1.9,0,0,0,3.03,0,0,0,0,0,0,0.9,8.02,0,0,0,0,0,0,0,0,0,6.63,0,0,0,0
 24-34,0,0,5.24,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.93,0,11.13,0,0,0,2.13,0,0,0,30.89,0,0.6,0,0
 36-46,0,0,0,0,0,10.03,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0.69,529.3,0,7.7,0,0,0,0,0,0,0,67.56,0,0,0,2.83
 48-58,0,0,1.46,1.81,0,31.01,0.75,0,15.25,0,0.66,6.56,0.46,0,0,0,5.1,0.39,0,1.97,857.64,0,8.06,0.64,0,0,0,0,0,0,144.41,0,0,0,7.19
 60-70,0,0,1,3.36,0,146.47,0,0,20.52,0,0,0,1.16,1.14,0,2.61,7.09,5.54,0,1.18,1419.59,0,4.02,0,0,0.63,0,0,0,1.46,172.75,0,3.22,0,3.83
 72-82,0,2.11,9.6,4.94,0,224.22,0,6.04,22.15,1.85,0.88,0,0,0,0,0,12.8,0,0,0,1345,0,2.25,1.46,0,0,2.11,0,0,0,130.62,0,0,0.71,2.57
 84-94,0,1.26,8.85,0.61,0,235.99,0,0,23.75,0,0,0,0,0,0,3.37,17.43,0,0,0,1039.45,5.19,0.71,0.82,0,0,0,0,0,0,120.22,2.93,6.91,2.92,17.68
 96-106,0,0,3.54,0,1.05,248.46,0.59,0,22.81,1.38,0,0,1.65,0,0,0.67,17.93,0,0,7.55,1067.26,4.12,1.43,0,0,0,2.74,5.44,0,0,55.77,0.62,0,0.68,0
108-118,0,0,9.54,1.1,0,227.3,0,0,22.75,0.43,0,0,2.9,0,0.56,1.14,18.89,0,3.19,1.42,1200.98,0.78,3.71,1.27,0,0,8.16,0,0,0,68.63,2.25,2.4,0,0
120,0,0,27.29,0,0,200.03,0,0,58.67,0,0,0,0,0,0,0,5.28,0,9.54,0,2117.5,3.68,1.77,13.55,0,0,2.73,0,3.25,0,100.45,0,0,0,0
