stage,axial,blastomeres,epidermis,eye,fin.mesenchyme,glial,immune,mesenchyme,mural.cell,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,10.12,127.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,213.35,0,0,0,0,0,0,0,28.59,0,0,0,0,0,0,0
  7-9,0,5.3,0,10.88,0,0,0,0,0,136.35,4.69,56.55,0,0,0,0,0
 10-12,0,11.08,0,15.19,0,0,0,0,0,63.74,0,23.36,0,4.19,0,0,0
 14-21,0,0,2.79,2.02,0,0,0,2.24,0,10.13,0,0,0,1.28,4.03,2.13,0
 24-34,0,0,0,0.73,0.83,0,0,0.6,0,10.65,0,0,0,0,0.75,0.75,0
 36-46,0,0,0,1.21,0,0,0,0,0,1.54,0,0,0,0,0,1.03,0
 48-58,0,0,0,0.4,0,2.83,0,1.4,0,5.21,0,0,0,0,0,0,0
 60-70,0,0,0,2.47,0,0,0,0,0,8.66,0,0,0,0,0,6.26,0
 72-82,0,0,0,1.03,0,0,1.61,1.31,0,11.01,0,0,0,0,0,0,0.95
 84-94,0,0,0,0,0,0,1.16,0,1.27,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,6.64,0.68,0,0,0,0,1,0,0,0,0
108-118,0,0,0,0,0,0,6.27,3.73,0,0,0,0,0,0,0,0,3.3
120,0,0,0,0,0,0,16.93,13.81,0,1.67,0,0,0,0,0,0,0
