stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2.52,3.94,72.01,12.05,0,26.02,0,0,0,13.46,5.77,0,1.07,0,1.18,0,0,0,0,42,0,0,24.02,542.29,6.68,3.97,3.34,13,0,6.83,29.29,3.82,2.69,26.13,168.54,0,0,1.14,0,0
 24-34,0,0,0,16.66,5.01,0,78.34,0,5.59,0,11.38,0,0,6.24,0,1.4,0,0,0,1.09,57.61,8.02,0,21.59,1454.95,1.41,13.63,5.73,0,0,49.76,0,0.65,0,10.45,313.49,0,0,43.79,0,0.63
 36-46,0,0,0,23.61,0.57,0,374.88,1.6,11.05,4.61,78.72,0,0,1.54,0,0,0.74,3.01,1.74,0.77,77.45,0.77,1.38,14.76,2677.99,0.84,13.77,30.97,0,9.62,78.64,0,2.01,0,0,581.81,0,0,15.21,0,5.47
 48-58,0,0,0,13.23,1.54,0,713.48,0.98,20.96,2.06,192.03,0,0.54,3.31,5.29,5.54,12.03,0.42,0,3.74,109.46,0.96,2.67,42.46,2540.93,23.7,6.15,11.91,0,0,59.72,0,0.57,1.86,0,641.91,0,0,17.9,0,4.67
 60-70,0,0,0,22.88,0,0,886.1,1.38,4.51,5.68,66.13,0.62,0,6.09,1.24,0.86,2.7,0,0,0,146.27,0,0,17.35,1696.82,1.27,4.51,3.86,0,1.65,62.84,0,3.07,2.94,0,271.19,0,3.81,18.23,0.81,1.78
 72-82,0,4.37,0,22.19,13.5,0,699.6,0,6.33,13.42,90.71,4.35,0,3.98,6.81,0,4.18,0.66,0,4.28,161.26,3.53,5.86,11.13,1124.63,8.05,18.77,8.01,0,1.03,43.76,0,0,0,0,134.06,3.24,1.33,17.11,2.08,8.74
 84-94,0,0.8,0,42.59,5.45,2.96,510.67,0,16.18,2.83,53.45,6.05,0,2.14,18.05,1.22,2.75,2.8,0,2.69,110.67,0.76,5.73,15.98,724.47,0.86,4.81,11.11,0,0,117.98,0,0.67,0,0,102.46,2.54,1.99,21.46,2.53,9.47
 96-106,0,4.44,0,16.54,25.59,0,336.64,0,9.18,5.14,32,7.78,0,1.6,7.81,2.75,1.05,4.02,9.06,2.01,83.09,3.36,7.3,10.04,581.34,1.63,4.13,12.75,0,2.99,89.2,0,0,0,0,45.63,0,0.76,29.05,6.13,0
108-118,0,0,0.49,28.69,6.53,0.95,335.73,6.97,5.46,1.28,41.73,13.49,0,0.52,15.07,7.19,6.63,2.16,1.52,2.2,90.83,6.86,9.58,3.22,618.72,0.43,3.76,11.8,0,0,67.79,0,0.51,0,0,36,3.61,10.54,5.94,1.57,4.14
120,1.12,0,0,43.76,11.76,0,321.78,0,8.31,1.67,54.69,26.82,0,1.61,26.79,2.26,3.97,1.54,0,0,56.82,0,0,15.76,1145.26,2.55,2.92,14.66,0,0,54.9,0,0,0,0,104.87,1.84,0,9.08,8.78,0
