stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,immune,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,10.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,16.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.73,0,0,0,0,0,0,0,0,0,0,35.82,0,0,0,15.43,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.76,0,0,0,3.03,0,0,0,0,0,0,0
 14-21,0,0,0,0.92,0,0.93,0,0,0,0,0,0,0,1.33,0,0,4.75,0,0,0,0,0,0.91,1.23,3.84,0.96,0,2.86
 24-34,0,0,0,0,0,45.88,0,0,0,0,0,0,0,0,0,0,7.93,0,2.8,0,0,0,0,1.01,0,0.84,0,17.1
 36-46,0,0,0,0,0,81.11,0,0.57,0,0,0,0,2.25,0,0,0,24.16,0,0,0,0,0,0,0.58,0,0.7,0,14.13
 48-58,0,0,0,0,0,92.09,0,0,0,0,0,0,0,0,0,0,41.53,0,0,0,0,0,0,0,0,0.9,0,4.27
 60-70,0,0,0,0,0,72.66,3.03,0,0,0,1.71,0,0,7.3,0,0,102.88,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.15,1.89,63.38,0,0,2.53,0,1.13,0,0,2.79,0,0,145.62,0,0,1.16,0,0.5,0,0,0,7.81,0,0.92
 84-94,0,0,0,0,0,82.67,0.77,0,7.01,1.22,4.99,0,5.22,4.79,1.82,0,152.12,0,1.41,0,0,0,0,0,0,0.68,0,0.97
 96-106,0,0,1.77,7.47,0,52,0,0.64,33.93,0,3.81,1.54,0,11.73,0,1.12,138.26,0.58,0.56,0,0,0,0,0,0,4.18,0,2.91
108-118,0,0,4.73,1.08,0,59.69,0,0,41.4,0,10.78,0,0,7.16,0,0,138.45,0,2.03,0,0,0.63,0,0,0,0,0.68,6.47
120,0,0,0,0,0,42.67,0,0,86.28,0,7.79,0,0,0,0,0,301.86,0,0,0,0,4.99,0,0,0,10.16,0,0
