stage,epidermis,eye,glial,heart,mesenchyme,muscle,neural,notochord,olfactory,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,1.3,0,0,0,0.93,0,0,0,0,0,1.58,0,0,0
 24-34,0.71,0,0,0,0,0,0,0,0,0,0,1.1,1.09,0
 36-46,0,1.11,0,0,0.56,0.65,0,0,1.42,0.57,0,0,1.03,0
 48-58,0,0.79,0,0.42,0,0,0.83,0,0,0,0,0.52,0.58,0
 60-70,0,6.15,0,0,0,0,3.48,0,0,0,0,4.84,0,0
 72-82,0,0,0,0,1.57,0,6.38,0,0,0,0,4.88,0.66,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,2.24,0
 96-106,0.76,3.14,0,0,2.26,0,6.87,0,0,0,0,0.67,0.57,0
108-118,0,0,0.67,0,0,0,3.74,0,0,0,0,0,5.18,0
120,0,8.53,0,0,15.09,0,0,5.23,0,0,0,0,0,1.05
