stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0.81,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,14.24,0,0,1.09,115.99,2.54,0.89,0,3.29,0,0,0
 24-34,0,1.82,0.86,5.97,2.47,0,0,0,0,0,0,0,0.72,0.69,0,1.42,40.19,0,1.64,0,312.46,0,6.84,0,3.36,0,0,0
 36-46,0,11.49,0,9.92,0,3.17,0,0,0,0,0,0,0.7,7.76,0,1.42,35.52,1.34,0,0,511.59,0,0,0.83,7.18,0,0,0
 48-58,0.42,3.98,0.65,12.9,0,2.57,0,0,0,0,0,0,4.08,0,0,1.11,33.9,0,0,0,178.57,0,0,0,4.11,0,0,0
 60-70,0,1.07,0,21.19,0,1.12,0,0,0,0,0,0,5.45,0.73,0,10.94,15.39,1.11,0,0,181.58,0,0,0,3.67,0.85,0,0
 72-82,0,5.87,0,9.99,0.64,0,1.37,0,0,2.2,1.04,0,9.04,0,0,1.55,7.17,0,1.06,0,80.45,0,0,0,0,0,1.37,2.8
 84-94,0,24.5,0,9.76,2.69,0,0,3.29,0,0.82,0,0,3.89,0,0,0,10.51,0.6,0,0,239.39,0,0,0,0,0,1.66,0
 96-106,0,22.86,6.45,3.93,0,1.01,7.15,0,0.56,1.14,0.74,6.77,7.9,0,0,0.62,19.84,0,0,0,191.28,0,0,0,0,0,0,0
108-118,0,32.68,3.03,12.34,4.46,1.28,1.76,0,0,0.65,0,0,1.59,0,0.98,1.25,2.61,0,1.84,0,178.96,0,0,0,1.73,0,0,0
120,0,177.96,0,6.83,1.31,0,2.57,0,0,1.65,0,0,4.74,0,3.51,0,9.6,0,0,0,297.16,0,0,0,0,9.96,0,0
