stage,epidermis,erythrocytes,eye,fin.mesenchyme,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,periderm,spinal.cord,vascular.smooth.muscle
 14-21,5.89,0,0,0,0,0,0,0,0.82,6.05,0,0,0
 24-34,0,0,0,0,0,0,0,0,3.15,4.04,0,0.71,0
 36-46,0,1.22,0,0,0,0,0.76,2.04,0.59,0,0,3.09,0
 48-58,0,0,0.66,0.67,0,0,0.56,0,0,0,0,0,0
 60-70,0,0,1.53,0,0,0,0,0,0,0,0,0,0
 72-82,0.69,0,0.64,0,0,4.62,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,1.49
 96-106,0,0,0,0,0,0,7.42,0,0,0,1.74,0,0
108-118,0,0,2.35,0,0,0,4.41,0,0.63,0,0,0,0
120,0,0,0,0,2.59,0,0,0,0,0,0,0,0
