stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,20.88,981.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,62.61,853.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,28.19,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.03,0,0,0,18.67,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.87,0,0,0,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,24.71,0,0,13.08,0,0,11.92,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,35.23,153,0,0.94,0,0,0,1.12,0.96,0,0,5.02,0,0,0,0,0
 24-34,0,0,1.55,0,0,0,0,0,0,0,0.72,0,0,0,0.85,0,8.36,0,0,3.13,0,2.17,69.34,7.76,0,49.88,0,0,0,0,0,0,0,32.27,0,0,0,0,0
 36-46,0,0,4.13,0,14.63,0,0,9.82,0,0,0.6,0,0,0,0,0,3.29,0,1.49,6.26,1.78,1.23,113.34,7.07,0,85.85,0,0,0,0,0,1.33,0,80.09,0,0,4.75,0,0
 48-58,0,0,0,0,0,0,0,63.98,0.68,0,0.49,2.81,0,5.77,10.09,0,0,0,0.39,10.16,0,1.52,198.33,2.47,0,41.31,0,0,0,0,0,0,0,42.02,0,0,6.67,0.65,6.15
 60-70,0,0,3.5,0,1.15,0,0,861.11,0,0,7.66,15.79,1.89,1.17,5.59,0.82,1.57,2.6,14.96,44.78,8.85,0,366.51,1.43,0.73,40.04,0,0,0,0,0,1.35,0,62.13,0,0,6.78,6.07,0
 72-82,0,0,11.24,0,6.22,8.65,0,2065.11,0,1.69,3.82,52.61,7.95,0,10.79,0,0,0,0,153.46,0,0.69,572.1,0,0,83.28,0,0,0,0,0,0.97,0,37.64,0,1.6,26.85,27.91,2.27
 84-94,0,0,5.53,0,2.31,9.81,0,1595.39,0,0.74,2.21,36.78,40.71,2.22,11.08,7.81,0,3.21,13.98,135.92,4.04,0.77,393.17,2.03,1.84,65.33,0,1.68,2.48,0,0,0,0,16.71,0,0.64,26.95,24.5,0
 96-106,0,0,7.45,0,12.78,4.61,0,1977.42,0,0.9,3.22,40.53,33.99,2.32,16.64,0,0,13.13,0,148.85,0,0,361.91,0,0,97.03,0,1.17,16.22,0,0,3.18,0.64,17.26,10.81,2.91,17.91,26.52,0
108-118,0,0,5.82,0.74,12.66,5.82,0.59,1351.58,0,0,3.31,62.3,29.95,0.51,11.5,2.41,2.85,1.91,16.42,125.23,6.96,5.65,411.47,6.91,3.05,92.46,0,0,2,0,0,0,0,17.34,2.03,3.11,29.15,26.76,10.13
120,0,0,7.35,0,36.13,14.85,0,1107.67,0,1.8,9.46,141.77,51.94,1.85,16.68,0,0,0,0,192.9,0,5.02,695.35,1.33,0,87.89,0,0,0,4.99,0,0,0,22.79,0,4.55,18.77,15.23,0
