stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,41.37,203.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.89,0,0,0,0,0,0,0,0,0
  5-6,0,40.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.12,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.7,0,0,0,4.46,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,10.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.54,18.43,0,0,25.32,0,5.33,0,7.73,0,0,0,0,0,0
 14-21,0,0,0,0.84,4.68,1.79,0,11.04,0,0,0,1.19,0,0,0,0,0,0,0,2.28,0,0,1.94,38.01,1.29,0,0,1.21,0,0,1.17,2.38,0,0.82,16.64,0,0,0
 24-34,0,0,0.71,0,7.93,0,0,6.2,0,0,0,2.61,2.05,0,0,0,0,1.89,0,4.42,0,0,1.03,61.09,0.75,38.33,0,0,4.5,0,0,0,0,0,19.52,0,7.32,0
 36-46,0,0,0,0,3.58,0,0,16.92,1.23,0,0,3.78,1.58,0.89,1.78,0,0,0.61,0,2.92,0,0,3.27,58.98,0,68.25,3.24,0,9.03,0,0,0,0,0,17.92,0,0.63,0
 48-58,0,0,0.42,0,6.97,0,0,32.9,0,0,0,9.41,0.41,0,0,0.49,0,0.4,1.48,3.71,0,0.41,1.74,51.68,0,74.53,5.52,0,11.26,0,0,0,0,0,6.34,0,1.59,0
 60-70,0,0,0.62,0,7.07,0,0,73.46,3.01,0,0,6.04,1.23,5.73,0,0,0,0,0,1.88,0,0,0.88,52.12,0,88.95,7.78,0,4.54,0,0,0.76,0,0,7.48,0,0,0
 72-82,0,0,0.97,0,2.77,0,0,53.76,0,0,1.11,8.62,2.5,0,3.86,1.43,1.42,3.56,0,14.25,0,0,0.68,58.05,0,153.88,6.51,0,0,0,0,0.86,0,0,8.78,0,0.63,6.55
 84-94,0,0,8.18,0,0,0,0,48.71,0,0,0,9.31,6.72,0,0.61,0,0,0.9,0,21.58,0,0,0,20.55,2.29,180.88,2.13,0,5.28,0,0,4.63,4.07,0,1.07,0,0.62,0
 96-106,0,0,0,0,8.56,0,3.47,40.67,0,0,0,29.48,8.67,0,6.77,0,0,0.65,1.45,18.36,1.61,0,2.01,28.84,0,197.83,3.23,0,5.59,0,0,1.49,0,0,10.46,0,0,0
108-118,0,0,0,0,4.96,2.94,8.27,65.28,0,1.85,0,8.56,19.27,0,7.28,0.65,0,1.91,2.82,8.65,0,0,0,42.43,0,157.53,8.1,0,0.56,0,0,1.02,0,0,2.08,0.95,2.66,0
120,1.12,0,0,0,12.33,4.8,0,34.62,0,0,0,20.27,20.03,0,6.16,5.44,0,5.32,1.45,30.79,0,0,1.27,71.85,1.17,222.51,4.63,0,3.45,0,0,3.52,0,0,1.98,8.1,13.43,0
