stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,27.43,375.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.45,454.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.41,0,0,8.97,0,0,0,0,0,0,0,0,13.41,0,0,0,0,0,0,0,0,0,172.97,0,0,0,58.5,0,5.74,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.25,0,0,0,0,6.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.58,0,0,0,41.86,3.07,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,2.82,9.68,2.57,1.64,0,0,0,4.24,3.91,0,1.45,0,0,0,0,4.33,7.51,0,12.07,79.17,2.71,0.98,0.89,1.14,1.04,0,17.5,0.82,2.58,22.57,32.46,0,0,0,0,0
 24-34,0,0,0.9,3.16,11.54,0,7.82,0,0,0,5.15,1.95,0,3.02,0,0,0,0,2.83,40.52,0,16.86,317.45,0.9,2.15,3.3,0,7.27,0,0,0.69,1.89,8.28,141.6,0,0,20.91,0,0
 36-46,0,0,0,0,5.89,0,43.39,3.38,0.69,1.83,12.68,4.52,0.76,0,0.89,0,0,0,22.62,40.42,0,13.93,396.36,0,4.25,2.84,0,15.09,0,0,1.65,0,0,161.53,0,0,4.83,0,4.18
 48-58,0,0,0,0,4.87,0,44.33,0,0.89,0.43,15.45,0,0,1.03,1.63,0,3.42,0,0,21.46,0.97,6.01,296.74,0,0,1,0,3.01,0,0,0,5.04,0,67.85,0,0,0,0,0.92
 60-70,0,0,0,0,4.61,0,205.14,1.69,17.53,5.3,62.35,0,0,0,0,10.83,0,0.7,0,25.38,0,1.7,370.89,0,3.67,0,0,0.6,0,0,0,1.72,0,80.82,0,1.84,0.9,0.98,0
 72-82,0,0,0,0,5.61,0,292.25,0,0,4.05,63.2,1.07,0,0,0,0,0,0,0,13.82,0,1.5,235.75,0.73,2.65,0,0,0,0,0,0.65,0,0,25.48,0,0.5,0,0,5.53
 84-94,0,0,0,0,7.6,1.77,255.39,0,0,0.87,74.72,0,0,0,0,0,0,0,2.51,23.92,2.45,5,138.88,0,0,0,0,2.95,0,0,1.6,0,0,38.14,0,0,2.44,0,10.21
 96-106,0,0,0,0,1.89,0,277.14,0,3.32,0,97.42,0.59,0,0,0,0,1.5,0,13.02,9.66,0,1.14,163.39,0.57,0.9,0,0,4.31,0,0,0,0,0,13.81,0,0,0,0,3.66
108-118,0,0,2.52,0,5.67,0.66,188.71,0,0.48,0,107.12,0.99,0,0,2.35,0,0,0,1.31,13.72,0.74,0.78,152.7,0.61,0.64,3.52,0,2.33,0,0,1.48,0,0,7.51,0.46,0,0.55,0,1.99
120,0,0,0,0,29.17,0,134.17,0,7.61,0,203.15,1.66,0,0,1.66,0,0,0,2.65,2.12,0,0,168.89,0,0,0,0,0,0,0,0,0,0,7.49,0,0,1.61,0,0
