stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,205.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.14,134.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.39,0,0,0,0,0,12.76,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.34,25.48,0,25.77,0,0,53.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416.5,20.94,0,0,197.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,65.74,0,27.47,0,11.83,92.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847.29,36.51,0,0,307.78,0,0,6.41,3.96,53.31,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,34.23,5.42,13.31,0,0,12.77,3.35,0,0,0,0,0,0,19.76,0,0,15.07,206.06,0.87,1,4.75,6.49,0,0,0,16.15,9.04,0,9.33,87.71,0,0,0,0,0
 24-34,0,0.83,0,3.48,8.74,3,23.43,0,0,26.32,2.02,0.98,0,0,0.63,2.22,0,34.99,0,0,12.7,320.61,6.76,14.12,4.9,0,0,0,0,0,8.73,0,2.51,90.98,0,0,15.98,0,0
 36-46,0,0,0,0,7.89,0.58,43.99,0.62,2.62,37.09,0,0,12.8,0,0,0,0,35.88,0,1.7,10.46,342.89,0,10.6,1.81,0,0,7.65,0,0.86,6.2,0,0,82.31,0,0,1.16,0,0
 48-58,0,0,0,0,17.42,0,121.72,0.6,0.94,40.23,0,1.08,0,0,1.9,0.46,0,49.31,0,1.43,8.35,351.24,0.79,9.1,0.48,0,0,0,0,0,1.72,0,0,53.53,0,0,2.15,0,6.25
 60-70,0,0,0,0,6.75,0,138.06,1.4,1.88,42.37,0.75,1.66,1.55,0,0,1.13,2.12,73.48,0,0,9.03,390.02,1.09,16.44,3.79,0,0,1.03,0,0,3.86,0,0,62.9,0,1,7.1,0,3.42
 72-82,0,0,1.53,0,13.69,4.88,152.95,0.51,2.96,51.47,4.46,0,0.56,0,0,0,0,63.51,0,1.31,5.5,306.39,0,17.49,2.46,0,0,5.07,0,0,1,0,0,37.75,0,3.34,7.35,3.17,3.39
 84-94,0,0,1.79,0,4.53,0,111.22,1.18,1.52,36.33,2.58,0,0,0,0.55,1.52,0,80.77,0,5.05,4.4,227.98,0,13.87,2.47,0,0,2.43,0,0,0.7,0,0,28.63,0,2.3,3.59,2.97,0
 96-106,0,0,0,0,4.9,0,73.13,0.56,0,56.61,2.73,0,1.58,0.81,0,5.75,0.72,63.23,0.97,7.85,3.56,160.44,0,19.63,2.33,0,1.51,2.35,0,0,0.58,0,0,15.9,0,3.43,7.05,1.97,0.63
108-118,0,0,0.71,0,16.15,2.02,86.48,1.5,2.9,46.36,1.23,2.95,2.68,0.47,1.44,6.15,2.79,66.52,0,0.94,12.42,242.5,0.89,15.07,5.74,0,2.53,0.52,0,0,0.61,0.8,0,12.84,0.51,2.16,3.81,4.24,6.44
120,0,0,8.14,0,29.68,0,103.15,0,0,80.9,10.11,0,0,0,0,0,0,94.46,0,5.31,0,489.61,18.49,12.14,20.04,0,0,10.49,0,0,2.08,0,0,15.77,0,2.41,18.76,0,0
