stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,30.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.45,0,0,0,0,0,0,0,0,0,0,0,5.92,0,0,0,3.64,0,0,0,0,0,0,0
 10-12,11.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.28,16.42,0,0,31.71,0,0,0,7.02,0,0,0
 14-21,0,1.09,0,1.09,20.1,1.7,0,0,0,86.7,0,0,0,0,5.49,0,0,59.51,0,2.42,11.16,2.54,0,45.58,0,265.75,0,0,19.89
 24-34,0,0.75,0.59,0.76,0,2.81,0,0,0,92.3,0,0.62,0.68,0,7.5,0,0,110.02,0.75,32.95,14.1,0,0,38.13,2.85,226.72,0,0,35.51
 36-46,0,0.98,0,8.26,0,60.12,0,8.76,0,65.58,0,0,0.56,0,6.22,0,2.02,131.59,0,50.79,11.89,0,0,35.51,0,145.06,0,0,17.8
 48-58,0,1.46,0,0.74,0,56.71,1.51,0,0,59.12,0,0,1.37,0,6.48,0,0.39,80.77,0,37.96,3.93,0,1.21,12.09,0,109.26,0,0,5.82
 60-70,0,5.11,0,0,0,26.81,0,0,0.84,46.01,0,0,2.56,0.59,0,0,0,56.57,0,44.96,16.54,0,0,8.76,0,61.94,0.81,0,1.96
 72-82,0,2.63,0,1.17,0,12.96,0,0,0,66.49,0.86,0,2.12,0,12.92,0,0.73,71.26,0,46.47,9.04,0,1.16,3.83,0,54.54,0,0,4.93
 84-94,0,3.88,0.74,0.71,0,24.84,0,0,0,71.55,3.93,0,5.49,0,1.75,0,0,79.47,0,66.29,28.97,0,2.83,10.07,0,28.43,0,1.13,3.64
 96-106,0,6.51,0,1.75,5.99,22.23,0,0,0,35.12,2.84,0,5.65,0,3.5,0,0,79.3,0,94.11,17.54,0,1.45,7.48,0,25.93,0,0.69,4.51
108-118,0,5.91,0.68,0,0,15.12,0,0,0,66.37,0,0,6.69,0,8.05,0.94,0,99.45,0,63.18,16.84,0,0,3.01,0,29.64,0,1.11,10.31
120,0,1.73,3.17,3.64,6.83,29.4,0,0,0,39.12,1.02,0,11.15,0,0,0,0,169.58,0,32.36,30.24,0,0,8.92,0,14.21,0,0,4.93
