stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,43.7,266.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,254.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69,0,6.92,0,0,0,0,0,0,0,0
  7-9,7.35,5.25,0,3.95,0,0,29.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.8,3.38,0,0,29.45,0,0,7.58,0,0,0,0,0,0,0
 10-12,0,0,0,13.81,0,0,26.4,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,52.71,5.93,0,0,59.8,0,0,0,0,18.19,0,6.54,0,0,0
 14-21,0,0,0,0,2.94,4.04,0.86,0,0,0,0,0,0,0,0,0,0,0,0,2.27,0,0,0,17.5,1.05,0,0,0,0,0,0,2.82,0,0,2.08,16.5,0,0
 24-34,0,0,0,0,0,0,0.65,0,0,5.69,0,0,0,0,0,0,0,0,0,2.73,0,0,3.02,38.91,2.24,0,0,0,0,1.69,0,0,0,0,0.67,10.37,0,3.01
 36-46,0,0,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,0,0,2.32,0,0,0.69,35.9,0,0.68,0,0,0,6.84,0,0,0,0,0,14.9,0,0.9
 48-58,0,0,0.42,0,0.5,0,6.04,0,0,0.6,1.69,0,0,0,0,0,0,0,0,3.24,0,0,1.27,23.32,2.02,0,0.64,0,0,5.75,0,0,2.07,0,0,1,0,0.42
 60-70,0,0,0,0,5.63,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3.32,0,0,0,15.34,0,0,0,0,0.71,0.81,0,0,0,1.91,0,3.98,0,0
 72-82,0,0,0,0,0,0,9.83,0,0,7.43,0,0.59,0,0,0,0,0.63,0,0,3.02,0,1.43,0,16.19,0.52,0,0,0,0,1.39,0,0,0,0,0,0.92,0,0
 84-94,0,0,0,0,0,0,14.89,0,0,0,0,0,0,0,0,0,0,0,1.11,2.24,0,0,0,14.13,0,0,1.09,0,0,1.71,0,0,0,0,0,1.58,1.34,0
 96-106,0,0,0,0,0,1.92,10.48,0,0,0.82,0.63,0,0,0.75,0,0.67,1.32,0,0,15.76,1.75,0,0,7.47,0,0.93,2.16,0,0,5.32,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.65,1.04,4.31,0.48,1.24,6.1,0,0,1.03,0,0.64,0,0,1.71,0,7.3,4.8,0.97,0.55,14.17,0,0,1.29,0,0,0.55,0,0,0,0,0,1.77,0,0.65
120,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,8.11,1.32,0,0,0,0,2.89,0,0,0,0,0,0,0,0
