stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,210.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.16,0,0,0,0,0,0,0
  5-6,90.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.22,0,0,0,0,0,0,0
  7-9,6.23,0,0,0,0,0,0,0,0,0,0,16.8,0,0,0,0,0,0,0,0,0,0,0,40.16,0,0,0,12.23,0,20.41,0,0,0,0,0,0,0
 10-12,0,3.18,0,0,0,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.41,11.52,0,0,25.24,0,0,0,0,0,0,0,0,0
 14-21,0,2.05,17.56,1.38,0,4.52,0,0,0,1.23,1.29,0,0,0,0.92,0,0,15.36,1.21,19.49,0,0,5.39,15.65,0.89,0,0,0,0,0.86,0,1.46,6.73,10.03,0,0,0
 24-34,0,0,2.09,0,0,0,0.72,0,0,0,0,0,0,0,0.65,0,0.91,0,0,9.88,0,0,2.33,40.35,0,0.98,0,0,0,10.25,0,0,1.23,17.83,0,4.58,0
 36-46,0,0,2.71,0,0,1.64,0,5.14,0,1.87,0.65,0,0,0,0,0,0,0,0,6.02,0,0,0,78.2,0.58,0,0,0,0,2.87,0.58,0,0.83,21.12,0,1.23,0
 48-58,0,0,2.73,0,0,6.32,0,0,0,16.16,0,0,0,0,0.94,0,1.01,0,1.77,4.81,1.53,0.69,0.67,108.25,0,1.06,0,0,0,2.2,0,0,0,14.61,0,0,0
 60-70,0,0,3.81,0,0,43.18,0,4.48,0,22.79,2.2,0,0,0,0,0,0,0,1.56,12.27,0,0,0,131.22,0,1.15,0,0,0,1.57,0,0,0,18.16,4.4,1.41,5.63
 72-82,0,0,6.35,0,0,57.27,0,0,0,18.63,0.56,0,0,0.7,0,0,1,0,0,13.12,0,0,0,135.72,0,2.57,2.76,0,0,0.61,0,0,0,19.72,0,1.87,3.38
 84-94,0,0,3.47,0,0,56.57,0.67,0,0,4.89,0,0,0,2.8,1.45,0,0,0,2.28,2.35,0,0,0,71.24,1.31,0,2.81,0,0,6.82,0,0,0,2.46,0,0,0.64
 96-106,0,0,8.54,0,0,61.53,0,2.75,2.2,19.86,2.69,0,0,3.32,1.29,1.05,0,1.46,0,14.09,0,0,1.6,85.34,0,2,3.89,0,1.67,2.15,0,0,0,0,0,4.45,10.38
108-118,0,0,3.69,1.05,0,59.3,0,3.7,0,14.19,1.13,0,0.51,1.93,0.49,0,0,0,5.29,6.69,4.67,0,0,140.5,0,1.59,3.71,0,0,2.78,0,0,0,2.05,1.35,1.23,3.29
120,0,0,15.58,0,2.35,89.52,7.66,0,0,35.84,0,0,0,0,4.27,0,0,1.05,0,26.11,29.49,0,0,199.4,0,0,10.52,0,0,1.44,0,0,0,0,0,13.37,0
