stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,18.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.33,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,83.42,0,0,0,0,0,0,0,10.11,0,0,0,0,0,0,0,20.05,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.87,186.65,0,0,0.87,0,1.01,5.18,0,0.81,0,2.6,116.51,0,0,2.34,60.89,0.89,1.94,0,0,1.11,10.73,0,0,0,0
 24-34,0,0,1.61,204.66,1.32,0,2.34,0,0,0,0,1.37,0,0,93.21,1.64,0,1.06,53.77,5.19,1.77,0,0.66,0,26.65,0,0,0,0
 36-46,0,0,0,108.41,1.22,0,0.96,0,0,0,0,0,0,0,45.52,0.75,0,0.56,26.78,4.26,5.19,2.27,0.89,0,5.99,0,0,0,0
 48-58,0,0,0,107.1,5.62,0,0,0,0,0,0,0,4.31,0,11.33,2.17,0,0,27.13,4.41,13.33,0,0.38,0,9.04,0,0,0,0
 60-70,0,0,0,97.5,1.54,0,0,0,2.88,0.62,0,0,0,0,1.77,0,0,0,41.2,6.21,5.59,0,0,0,2.08,1.62,0,0,0
 72-82,0,0,0,132.31,3.04,0.57,0,0.61,6.37,6.31,0,6.75,0,0,3.66,0,0,0,54.33,19.02,34.47,0.5,0,0,11.03,1.77,2.68,0,0
 84-94,0,0,0,175.42,14.08,2.37,2.63,0,4.41,1.59,0.86,3.03,0,0,1.83,0,0,0,14.19,24.12,31.57,0,0.67,0,4.58,0.78,0,0,0
 96-106,0,3.61,0,199.27,9.29,0,0,0,1.68,6.43,0,8.89,0.97,0,2.72,0,1.19,0,27.44,56.57,33.73,4.87,0,0,6.67,2.75,1.49,0,7.18
108-118,0,3.28,0,181.84,29.15,0,2.09,0,1.21,7.39,0,12.05,0,0,2.25,0,0,0.5,37.06,33.21,48.3,1.76,0.63,0,0,0,0,3.48,0
120,0,0,0,129.36,18.78,0,0,0,0,1.34,0,6.93,2.69,0,2.9,0,0,0,63.23,32.05,33.6,0,3.74,0,0,3.55,2.39,1.96,0
