stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,13.21,40.52,203.75,0,15.92,0,0,0,3.47,2.27,2.19,3.31,0,2.11,0,0,19.14,0,35.01,0,0,19.75,309.92,6.1,1.86,0,4.26,0,25.4,4.63,23.91,2.38,0.81,29.54,111.54,0,0,7.64,0,0.85
 24-34,0,2.75,20.85,207.07,0,68.52,0.68,2.22,0,6.27,2.23,0,5.45,5.39,9.07,3.33,1.72,8.9,0.59,67.85,0,0,36.5,742.25,2.94,16.3,8.39,0,0,72.33,0,0,4.1,3.34,10.84,233.03,0,0,48.2,0,7.52
 36-46,0,0,8.71,79.14,0,159.63,2.67,10.45,4.26,28.18,0,0,2.77,2.1,1.01,0,2.08,0,4.8,62.32,1.35,1.19,16.42,911.87,1.81,6.33,1.93,0,0,54.45,1.54,0,0,0,0,217.77,0,0.85,19.2,0,0.56
 48-58,0,0.83,11.73,162.23,0,278.59,1.59,1.28,3.33,66.65,0.78,1.18,1.99,5.43,6.85,1.06,0.85,7.71,2.77,100.77,0,4.39,16.86,983.6,0.65,12.64,2.66,0,0,18.58,0,0,0.52,4.14,0,182.56,0,0.61,10.13,0,7.96
 60-70,0,0,23.46,262.94,0,549.2,0.58,3.53,6.99,61.07,2.98,0,3.73,9.31,10.14,0.93,1.2,0.62,0,122.26,0.85,6.41,13.16,1305.42,7.87,4.82,2.59,0,0,34.5,0,0,0.58,1.71,0,180.27,0,4.4,11.12,2.59,22.76
 72-82,2.18,0,17.77,634.21,0,411.99,0.82,12.37,0.56,68.71,4.29,0,7.71,11.06,1.16,0.59,1.99,0,3.84,153.35,2.03,3.8,14.75,936.92,0.52,7.08,10.85,0,0,24.74,0.56,0,0,0,0,79.92,0.5,4.95,34.79,1.99,26.17
 84-94,0.84,0,28.01,625.7,0,305.96,3.9,10.58,3.01,41.8,7.4,0,1.06,26.51,2.74,7.12,0,0,1.39,117.5,2.12,1.43,14.53,700.66,0,1.27,9.01,0,0,68.8,0,0,0.8,0,0,58.7,1.87,5.44,24.22,5.03,0
 96-106,3.35,0,20.56,845.65,0.77,222.73,0.67,4.56,6.65,50.06,8.03,0,7.97,25.03,3.71,13.59,4.72,1.38,0,79.42,4.14,10.83,8.87,395.53,1.88,7.3,12.23,0,5.34,60.14,0,0,1.05,0,0,25.96,0,1.32,22.63,10.61,13.32
108-118,0,0.74,34.22,411.58,9.45,204.71,8.07,12.26,2.6,76.4,8.78,0,2.81,25.26,6.01,4.69,0.83,2.4,7.43,105.91,0.43,7.26,12.27,532.39,2.21,6.96,11.01,0,2.4,44.12,0.48,0,1.84,0.44,0,34.46,2.03,0.67,34.12,2.89,4.88
120,0,0,17.16,326.18,25.3,189.98,0,3.08,1.44,78.57,5.99,0,0,39.39,2.09,5.83,0,3.23,0,91.27,1.12,4.87,21.67,978.85,4.28,0,17.53,0,2.67,53.21,0,0,0,2.92,0,19.04,5.08,0,40.44,4.02,28.65
