stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,37.71,764.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,97.07,1566.7,0,0,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,0,0,0,0,39.48,0,0,0,24.79,0,14.82,0,0,0,0,0,0,0,0
  7-9,4.37,36.07,0,43.29,0,0,0,83.7,0,0,0,0,29.73,0,0,0,0,0,0,0,0,0,0,771.75,53.63,0,0,347.83,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,70.97,0,5.14,0,46.06,0,0,0,0,17.2,0,0,0,0,0,0,0,0,0,0,657.69,9.96,0,0,151.69,0,3.07,4.19,32.12,0,5.88,0,0,0,0
 14-21,0,0,0,0,30.95,2.82,0,11.61,0,0,5.14,0.83,0,1.78,0,0,0,0,0,4.46,0,0,6.53,166.29,6.9,1,2.12,3.25,0,3.11,29.42,0.99,21.64,48.12,0,1.01,0,0
 24-34,0,0,0,0,7.65,0,0,15.29,0,0,7.8,0,0,0.75,0.71,0,0,0,0,30.44,0,0,5.36,207.48,0,1.93,1.96,0,0.99,7.96,0,0,4.63,40.45,0,2.34,0,0.77
 36-46,0,0,0,0,6.25,0,0,20.93,0,2.99,9.85,0,0,0.63,0,0,0,0,0,19.26,0,0.57,1.95,102.44,0,1.38,1.8,0,0,1.13,0,0,0,23.95,0,3.38,0,0
 48-58,0,0,0,0,6.57,0,0,34.73,0,0.45,15.26,0,0,0.47,0,0,0,0,0,21.29,0,3.73,2.17,103.38,0,1.41,1.45,0,0,5.05,0,0,2.82,19.65,0,0.5,0,0
 60-70,0,0,0,0,0,0,0,20.59,2.09,0,3.55,0,0,0,0,0,0,0,3.05,22.17,0,0,0.67,48.52,0,0,0,0,0,2.86,0,0,0,10.65,0,2.52,0,1.77
 72-82,0,0,0.49,0,3.51,1.45,0,20.38,0,0,19.69,1.23,0,0,1.16,0,5.58,0.74,0,33.92,0.78,1.26,2.72,50.49,0,0,0,0,0,0.86,0,0,0,14.51,0,4.25,0.5,3.13
 84-94,0,0,0.66,0,1.31,0,0,3.27,0.59,0,5.05,0.73,0,0,0,0.57,0,0,0,17.41,0,0,3.65,30.29,0,0,5.14,0,0.83,0.62,0,0,0,9.25,0,8.18,0,0
 96-106,0,0,2.36,0,2.06,0,0,4.51,0,0,5.85,0,0,1.71,0,1.71,0,0,0,11.74,0,0,2.8,40.03,0,0,2.13,0,3.11,1.71,0,0,0,8.4,0,1.78,1.55,0.68
108-118,0,0,0,0,3.76,0,0.5,11.25,0.47,0.6,7.39,1.18,0,0,0,1.62,3.63,0,0,28.45,0,1.98,7.69,31.6,0,0,0,0,3.53,2.32,0,0,0,4.65,1.61,7.25,0,1.16
120,0,0,0,0,0,0,0,13.63,0,1.26,17.18,0,0,0,2.62,0,2.09,0,0,24.29,0,0,1.9,33.99,0,0,6.79,0,0,5.23,0,0,0,0,1.81,0,0,0
