stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,14.56,310.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4,0,0,0,0,0,0,0
  5-6,7.48,212.95,0,0,0,0,0,0,0,0,0,0,0,0,0,15.41,0,0,0,0,18.92,0,0,0,0,0,0,0
  7-9,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,64.91,0,0,16.23,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.19,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.02,0,0,0.93,0,0,0,0,0,0,0,0.9,7.89,0,0,0,0,0,1.81,0.92,1.52,0,3.75,0,0
 24-34,0,0,0,0,1.77,0,0.68,0,0,0,0,0,1.56,0,1.37,2.65,0.75,0,0,0,0,0,0,0,1.27,6.32,0,6.69
 36-46,0,0,0,0.59,2.25,0,0.63,0,0,0.65,0,0,0.59,0,0,10.67,3.31,0,0,0,0,0,0,0,0,3.49,0,0
 48-58,0,0,0,0,2.16,0,0.66,0,0.93,0,0,0,3.76,0.92,0,5.06,0.47,0,0,0,0,0,0,0,0,2.75,0,0
 60-70,0,0,0,0,3.46,0,5.37,0,0,0,0,4.07,4.84,0,1.02,16.27,1.97,0,0,0,0,0,0,0,0,1.79,0,0
 72-82,0,0,0,0.88,3.7,0,1.46,0,0,0,0,0,6.99,0,0,1.57,7.6,1.09,0,1.12,0,0,0,0,0,0.6,1.57,0
 84-94,0,0,0,0,3.01,0,1.81,0.88,0,0,0,0,7.64,0,0,7.97,5.77,0,0,0.57,0.75,0,0,0,0,1.73,0,0
 96-106,0,0,0,1.2,2.12,0,6.66,0.59,0,0,0,0,2.06,0,0,2.11,8.35,0,0,0,0,0.85,0,0,0,2.71,0,0
108-118,0,0,0,0,0.46,0.82,1.89,0,0,0,2.1,0,3.14,1.48,0.93,4.68,4.29,0,0,0,0.95,0,0,0,0,0,0,0
120,0,0,0,0,3.02,0,0,0,0,0,0,0,2.36,0,1.32,0,0,0,0,0,0,1.53,0,0,0,0,9.27,0
