stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,1.54,0,0,0,0,0,0,0,0,11.67,0,0,0,23.69,0,0,0,0,0,0,1.76,170.56,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.83,0,0,6.92,6.4,0,0,0,0,0,0,0,11.91,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,74.28,0.98,0,0,0,0,0,0,0,0,79.96,0,0,9.53,26.65,0,0,0,0,0,0,0,2.11,0,0,0,0,0
 48-58,0,0,5.3,0,0,4.04,0,4.35,608.58,12.61,0,0.49,0.96,0,0,0,6.87,3.73,67.15,0,0,57.43,112.9,0,0,0,0,0.59,0,0,10.28,0,0,0,0,0
 60-70,0,0,2.72,0,0,4.06,0,37.85,2055.51,2.37,0,0,0,0,0,0,0,0,355.29,0,0,49.59,39.38,0,1.23,0,0,0.63,0,0,12.25,0,0,0,0,0
 72-82,0,0,40.44,12.71,0,106.61,0,82.15,4793.93,23.95,12.9,0,0,0.7,0,0.99,0,0,1359.28,0,1.94,142.59,199.58,0,2.11,0,0,5.47,0,0,5.6,1.01,1.54,5.45,9.84,3.18
 84-94,0,0,1.92,0,0,197.92,0,85.74,3036.52,86.57,2.58,0,0,0,11.82,2.91,0,0,1189.88,0,1.92,53.62,101.89,0,0,0,0,0.75,0,0,5.64,4.29,4.81,1.56,0,0
 96-106,1.56,3.76,77.52,35.87,9.25,349.99,0,252.58,6177.93,31.11,4.21,3.77,29.07,0.63,8.49,0.77,28.59,0,3909.72,4.27,8.19,82.72,548.65,0,3.49,0,1.58,33.73,0.68,0,7.76,3.05,2.02,24.9,34.75,8.27
108-118,0,0,3.83,9.23,3.64,204.39,13.02,107.7,6167.65,27.05,6.41,1.6,35.74,3.5,4.4,0,19.73,5.16,6387.03,0.47,5.03,248.27,321.72,0.49,2.47,3.58,3.73,9.69,0,0,12.86,0,5.04,2.91,0.5,4.4
120,0,0,44.57,0,5.76,157.19,0,0,5534.45,159.59,1.32,4.22,30.65,0,0,0,22.85,0,7205.37,0,13.05,112.84,466.14,1.62,0,0,2.67,3.96,0,0,0,0,0,4.19,2.97,7.26
