stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,iridophores,mesenchyme,neural,periderm,spinal.cord
  5-6,9.3,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,6.58,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,10.99,0,0
 14-21,0,0,1.08,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.6,0,0,0,0,0,0,0,0,0.89,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.73,0,0,0
 48-58,0,0,0,0,0,1.45,0,2.79,0,0,5.14,0,0
 60-70,0,0,0,3.29,0,0,0,0,0,0,5.21,1.01,0
 72-82,0,0,0,0,0,0,0,0,0,0,7.44,2.52,0
 84-94,0,0,0,0,0,0,0,0,0,0,6.44,1.23,1.52
 96-106,0,0,0,0,0,0,0,0,0,0,0,2.35,0
108-118,0,0,0.5,0,0,0,1.44,0,0,0,0,2.28,0
120,0,0,2.67,0,1.23,0,0,0,2.23,0,18.48,0,0
