stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,88.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.71,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.82,0.91,23.81,0,0,0,0,0,0,0.85,0,4.21,0,0,1.77,0,3.39,3.78,5.56,0,0.81,46.39,1.4,0,2.8,0,0,0,0
 24-34,0,0,0,0.6,0.61,0,0,0,0,0,2.35,0,2.06,0.98,0,0.79,0,0.67,11.36,10.91,3.55,1,16.48,0,0.83,2.68,0,0,9.18,0
 36-46,0,0,0,0,0,0,0,0,0,0.61,2.27,0,3.45,0.7,0,5.04,0,1.46,5.92,4.64,4.98,0,27.83,0,7.18,3.22,0,0,13.6,0
 48-58,0,0,0,0,0,0,0,0,2.79,0,0,0,0,0,0,2.87,0.82,1.15,11.48,10.17,1.24,0,35.61,0,0.54,0,0,0,2.04,0
 60-70,0,0.86,0,3.9,0,0,0,0.93,1.33,0,0,0,0.57,0,9.12,6.12,1.02,1.99,5.17,11.01,0.99,2.03,21.86,0,2.01,0,0.61,0,5.9,0
 72-82,0,0.69,0,12.85,0,1.79,0,0,1.71,3.63,1.41,0,0.66,0.58,0,6,1.23,0,16.56,0,0.5,0,10,0,0,0,0.82,0,0,4.81
 84-94,0,1.75,0,4.32,0,0,0,0,4.78,10.8,0,0.57,0.57,0,9.68,3.54,0,1.23,0,3.91,1.85,2.05,44.95,0,0.76,0,0,0,3.7,0.63
 96-106,0,1.15,0,22.06,0,9.51,1.99,0,0,12.84,0,2.27,2.66,0,9.49,3.19,1.23,0,7.14,1.13,4.82,2.12,49.78,0,0.57,0,1.64,2.17,0,1.49
108-118,0,3.07,0,23.64,0,1.4,3.17,0,3.23,17.5,0,5.15,1.78,0,1.74,1.54,0,0,4.24,0,3.75,5.46,32.8,0,0.48,0,0.44,3.58,0.65,0.48
120,0,0,0,19.12,0,0,1.5,0,2.9,21.86,0,0,0,0,0,3.1,0,0,0,20.49,0,3.91,7.04,0,1.86,0,0,0,0,0
