stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,28.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,155.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.48,0,0,0,4.19,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.78,0,0,0,0,0,0,0,0,0,0,3.11,0,0,0,0,0,0
 14-21,0,1.95,17.43,3.43,0.99,0,0,0,0,3.52,4.86,59.51,0,0.9,0,0,0,0,51.88,0,0,23.63,29.08,0,0,0,0.96,0,1.11,0.91,6.96,0,419.86,254.57,7.1,0,0,9.52,0,0
 24-34,0,5.68,5.81,4.35,21.24,84.03,2.08,0,1.02,0.63,0,128.05,0,0.64,0,0.65,0,12.23,62.21,0,2.43,59.95,117.87,18.51,17.3,0.67,0,2.97,7.46,0,0,1.87,226.7,255.36,6.42,0,0,29.94,0,0
 36-46,0,0,1.7,1.28,14.39,124.8,0,0,2.11,1.47,0,78.65,0,0,0,0,0,28.08,45.73,0,6.31,17.34,83.71,7.12,8.41,0,0,2.1,0.68,0,0,0,121.55,10.84,8.99,0,2.72,13.42,0,0
 48-58,0,0,1.85,0.45,17.68,79.82,4.95,0,4.99,0,0,36.05,0,0,0,0,1.66,29.75,23.62,0,0,13.19,178.86,2.09,3.85,2.77,0,0,2.43,0,0,0,58.11,0,18.16,0,7.17,6.96,0,1.4
 60-70,0,0,2.02,0,34.07,46.11,12.79,0.73,2.71,5.15,0,30.33,1.75,0,0,0,0,22.76,37.19,0,10.06,3.23,180.88,0,0,5.75,0,0,1.38,0,0,0,30.35,0,6.4,0,12.47,0,19.88,0
 72-82,0,0,3,0,53.25,52.58,3.42,0,2.7,0.71,0,8.74,0.67,0,0,0,0,5.12,44.04,0,14.44,13.83,237.7,0,1.84,5.3,2.25,2.81,0,0,0,0,18.44,0,7.7,0,24,1.46,51.8,0
 84-94,0,0,2.49,0,48.42,47.63,2.68,1.27,5.24,3.77,0,19.03,0.56,0,1.8,0,0,7.13,65.83,2.46,5.56,15.56,125.9,0,0.95,6.11,0,0,9.32,0,0,0,25.33,0,16.33,0,23.81,0,71.87,0
 96-106,0,0,8.09,14.64,65.95,65.26,11.27,0,4.79,6.07,0,24.68,1,0.58,0.6,0,1.19,1.85,100.84,0,10.88,10.98,116.04,0,3.88,27.7,0,5.43,6.66,0,0,0,22.95,0,7.42,2.03,65.74,7.31,104.35,0
108-118,0,0,3.89,1.37,56.04,42.19,8.03,0.66,4.04,4.52,0,34.46,4.6,0,1.52,2.3,0,22.46,95.14,0.94,4.56,15.57,111.72,0,0,18.68,0,11.65,1.65,0,0,0,21.44,0,3.11,3.18,41.48,2.21,74.08,0
120,0,0,2.73,0,6.8,40.08,6.56,0,10.61,17.66,0,6.7,3.3,0,0,0,0,0,28.28,0,0,22.9,87.03,0,1.15,11.81,0,16.75,0,0,1.12,0,1.8,0,0,0,27.73,6.28,61.82,0
