stage,epidermis,erythrocytes,exocrine.pancreas,eye,glial,iridophores,melanocytes,mesenchyme,neural,notochord,otic,periderm,spinal.cord,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0
 24-34,0,0,0,2.25,0,0,2.24,0,0.72,0,0,0,0,0
 36-46,0,0,0,0,0,0,21.29,0,0,0,0,0.69,0.69,0
 48-58,0,0,0,0.92,0,0,5.94,0,4.53,0,0.42,0,0.53,0
 60-70,0,0,0,4.71,0,3.99,2.25,0,1.08,0,0,0,0,0
 72-82,0,1.23,0,9.62,0,0,4.8,1.28,4.7,0,0,0,0,0
 84-94,0,0,0,18.44,0,4.51,15.23,0,6.3,1.33,0,0,0,0
 96-106,0,0,1.14,7.51,2.29,5.66,0.68,0,6.3,0,0,0,0,0.62
108-118,0.66,0.55,0,18.36,0,1.89,1.3,0,3.27,0,2.94,0,0,0
120,0,5.05,0,0,0,0,9.35,0,0,0,0,0,0,0
