stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,50.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,45.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.98,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,32.76,4.99,0,0,11.09,0,0,0,0,0,0,0,0,0,0,0
 10-12,13.19,0,0,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.94,0,0,0,22.71,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.07,0,5.51,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,1.23,141.18,0,0,0,0,0,0,0,0,0,95.62,0,0,10.1,0,0.97
 24-34,0,0.81,0,8.91,0,0,3.35,0,0.62,0,4.09,0,0,0,0,0,0,0,9.04,0.9,0,0,4.72,681.5,0,2.14,0,0,0,0,0,0,1.65,429.29,0,0,26.12,0,0
 36-46,0,0,0,1.53,0,0,39.41,0,0,0,21.5,0,0,0,0,0,0,0,4.07,6.74,0,0,0.56,1224.33,0,2.2,0,0,0,0,1.34,0,0,684.08,0,0,8.63,0,0
 48-58,0,0,0,8.29,0,0,139.4,0,0,0,47.47,0,0,0,0,4.49,0,0,0,9.77,0,0,2.12,1697.39,2.42,4.35,10.15,0,0,6.95,0,0,0,638.61,0,0,12.94,0,0.8
 60-70,0,0,0,7.44,0,0,308.83,0,0,0.62,38.99,1.21,0,0,0,0.72,0.77,0,2.08,34.99,0,0,1.55,2147.24,0,2.14,8.81,0,0,5.72,1.95,0,0,699.53,0,0.61,5.54,0,0
 72-82,0,1.85,0,8.06,7.81,0,380.83,0,7.37,0,46.8,2.36,0,0,0,0,0,0,1.18,31.31,0,0.63,1.64,2256.04,0,1.62,0,0,0,3.43,0,2.68,0,417.38,1.58,0,1.72,1.45,1.81
 84-94,0,0.81,1.04,20.38,0,0,337.54,0,2.03,1.05,107.61,2.1,0,2.54,0,0.67,1.82,0,2.55,36.06,1.79,1.68,0.56,1630.53,0,11.49,8.23,0,0,8.13,0,0,0,270.57,0,0,3.11,2.16,4.24
 96-106,0,0.81,0,23.08,8.17,0,309.16,0.67,0,0,81.26,11.84,0,2.2,1.96,1.8,3.33,0,0.75,45.1,0,4.89,1.08,1630.17,0,9.04,3.1,0,0,4.02,0,0,0,174.58,0,1.2,8.51,0,0
108-118,0,2.36,0,12.74,0,7.52,327.51,1.87,0,0.77,103.05,39.22,0,0,0,4.25,0.43,0.43,2,23.86,0,0,4.71,1565.42,0,2.89,7.85,0,0,1.06,0,0,0,174.77,1.56,0,6.09,0,0
120,0,7.45,0,9.63,15.52,0,479.8,12.08,10.7,0,291.37,71.94,0,0,0,0,1.54,0,0,13.07,1.49,9.54,2.62,3354.32,0,18.95,0,0,19.49,7.03,0,0,0,288.3,0,0,15.79,0,0
