stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,140.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.5,181.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.25,0,0,0,0,0,9.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.11,0,14.35,0,0,7.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.58,20.9,0,0,25.08,0,0,8.64,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,22.25,0,0,13.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,3.71,0,0,37.51,0,0,0,0,19.81,0,3.28,0,0,0,0,0
 14-21,0,0,0,0,9.3,3.15,4.57,0,0,116.89,0,0,0,0,0,0,0,0,7.09,0,0,3.45,112.48,5.05,46.97,14.9,7.47,0,1.06,5.19,10.03,135.45,5.29,343.33,0,0,0,0,0
 24-34,0,0,0,0,3.15,0,10.23,0,1.71,102.07,0,0,0,0,0,3.91,0,0,7.3,0,0,6.5,130.18,0,145.09,22.68,0,0,0,0,0,73.37,2.67,218.28,0,0,0,0,0
 36-46,0,0,0,0,7.48,0,24.71,0,0,79.15,0,0,0,0,0,3.34,0,0,13.69,0,0,2.57,154.04,0.88,196.21,5.99,0,0,2.7,0,0,41.94,0,163.8,0,0,0.73,0,0
 48-58,0,0,0,0,0.98,0,48.1,0,1.45,52.65,0,0.4,0,0,0,4.4,0,1.16,36.31,0,0,3.43,91.34,0,130.28,15.71,0,0,0.38,0,0,15.23,0,150.55,0,0,0,0,1.31
 60-70,0,0,0,0,0.61,0,51.72,0,0,68.95,0.62,0,0,0,1.91,12.73,0,9.3,10.97,1.53,0,1.22,87.82,0,134.29,22.39,0,0,0,0,0,22.62,0,65.06,0,0,0,0,0
 72-82,0,0,1.99,0,0,6.2,26.34,0,0,61.1,1.83,0.73,0,0,0,24.25,0,0,33.09,0.55,1.61,3.95,73.69,0.66,199.47,33.74,0,0,0.54,0,0,7.98,0,71.28,0,0,0.73,0,0
 84-94,0,0,2.4,1.6,1.46,0,27.54,0,0,66.68,0.93,0,0,0,0,20.05,0,0,23.18,0,0,3.55,57.25,0,145.09,52.17,0,0.91,0,1.4,0,14.72,0,36.77,0,0,0,2.69,0
 96-106,0,0,3.56,1.12,2.24,0,33.94,4.4,2.86,64.14,1.17,0,0.64,0.81,0,49.47,8.84,0,18.61,0,0,0.7,22.05,0,267.41,61,0,0,3.63,0,0,10.56,0,61.07,0,3.54,2.28,0,0
108-118,0,0,1.57,2.72,0.43,0.84,22.2,0,0.8,52.9,0,0,0,0,0,25.04,5.87,0,26.23,0,2.61,0,71.51,0,182.51,34.38,0,0,0,0,0,12.58,0,21.01,0.67,0,0,0,0
120,0,0,1.22,0,6.62,3.69,39.37,0,0,28.94,0,0,0,4.41,0,17.82,0,0,4.93,0,0,3.76,115.49,0,165.82,59.48,0,0,0,0,0,37.42,0,20.84,0,1.52,0,0,0
