stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,22.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.85,0,0,0,7.31,0,0,0,0,0,0
 14-21,0,2.98,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,38.62,0,0,0,0,0,0,0,0,0,0
 24-34,0,7.44,0,0,1.09,0,2.06,0,0,0,0,0,3.54,0,0,0,519.98,0,2.17,1.66,0,0,0.84,0,0,0,0
 36-46,0,0.62,0,0,0.65,0,6.12,0,18.99,0,0,0,40.87,0,0,0,1037.87,0,0.6,0.8,0,0,0,7.13,0,0,0
 48-58,0,7,1.56,0,13.48,0,3.33,0,0.75,0,0,0,83.64,0,0.46,2.31,731.55,0,0,5.21,0,0,0,4.87,0,0,0
 60-70,0,4.46,0,0,22.25,0,5.6,0,8.48,0,0,0,109.81,1.83,0,1.39,554.1,0,1.97,10.55,0,0,0,2.66,0,1.82,0
 72-82,0,1.6,0,0,26.04,0,1,0.49,23.26,0,0,0,145.1,0,1.8,0.64,554.92,0,0,12.07,0,0,0,7.72,0,0,0
 84-94,0,6.41,0,0,37.96,0,6.96,0,4.22,0,0,0,129.54,0,3.44,0,303.33,0,2.36,10.35,0,0.75,0,0,0.88,0,0
 96-106,0,4.32,1.34,0,20.27,3.05,0.7,0,30.95,0,0,0,101.41,0,6.38,6.29,242.05,0,1.81,15.7,0,2.14,0,2.06,0,0,3.52
108-118,0,0.48,0,1.04,21.72,0,7.52,3.85,47,0,9.17,0.48,132.24,0,0,0,558.19,0,0.72,18.89,0,1.5,0,0,0,0,0
120,0,2.99,0,0,19.43,0,4.36,0,1.79,0,0,0,143.01,0,16.56,0,551.56,2.33,5.77,6.69,0,4.78,0,0,0,0,0
