stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,10.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.9,0,0,0,0,0,0,27.86,0,0,0,25.2,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.81,0.83,0,0,0,0,0,0,0,0,0,0,0,0,3.34,7.54,1.23,0,0,0,0,2.45,1.94,0,2.9,8.51,0,0,0,0,0
 24-34,0,0,2.13,0,0,3.26,0,0,0,0,0,0,0,0,3.67,8.44,45.85,0,0,0.81,0,0,1.38,0,0,1.4,7.1,0,0,0,0,0
 36-46,0,0,0,0,0,1.7,0,0,0.84,0,0,0,0,0,2.76,0.97,68.19,3.65,0,0.59,0,0,0.59,0,1.95,0,3.48,0,0,0,0,4.93
 48-58,0,0,0,0,0,20.94,1,0.78,2.06,0,0,2.29,0,0,21.57,4.97,139.06,0,1.54,0.89,0,0,0,0,5.59,0,11.14,0,0,0.39,0,0
 60-70,0,0,0,0,0,59.99,0,1.27,0,0,0,0,0,0,23.12,0.95,202.72,0,0,0,0,1.9,2.19,0,8.25,0,6.26,0,0,0,0,0
 72-82,0,0,6.86,0,0,49.75,0,0,4.06,0,0,0,0.88,0,64.31,1.38,255.68,0,0,2.07,0,1.08,1.53,0,3.17,0,22.21,0.62,1.39,0,0,0
 84-94,0,0,0,0,0,59.67,2.24,0,9.26,0,0,0,0,0,39.77,0,139.59,0,2.46,0,0,0,1.06,0,9.59,0,13.92,0,0,0,0,0
 96-106,0,0,1.18,9.94,0,61.85,0.57,0,5.24,0,0,0,0,0,50.25,2.16,143.49,0,0,2.69,0,0,0,0,1.52,0,16.07,0,1.48,0,0,3.81
108-118,0,0,1.4,0.7,1.11,20.99,1.92,0,2.38,0,0.42,0,1.17,0,29.29,0,169.31,0.46,0,0.43,0,0,0.93,0,1.99,0,3.26,0,0.9,2.52,0.74,0
120,0,0,0,0,0,30.04,0,0,1.81,0,0,0,0,4.02,54.39,0,241.96,0,0,2,0,0,1.17,0,4.77,0,0,0,0,0,0,0
