stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,32.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,4.75,3.43,0,0,3.64,0,5.78,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.17,0,0,0,0,0,15.71,0,0,0,0,0,0,0,0,0,0,0,64.12,10.17,0,0,13.35,0,0,14.36,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7.61,3.27,0,0.81,0,0,0,0,0.83,0,0,0,0.9,0,0,0,0,1.99,0,0,0.85,21.48,0,1.55,0,0,0,9.44,0,1.12,0,0,1.66,10.17,0,0,0,0,0
 24-34,0,0.75,22.68,1.11,0,9.23,0,0.7,0,4.04,0.77,0,0,1.7,5.66,0,0,0,0,9.28,1.79,0,4.84,101.72,0,6.16,0.62,0,0,46.37,0,0,4.98,0,1.2,26,0,0,7.05,0,1.44
 36-46,0,0.95,0.65,0,0,16.99,0,0,0,7.27,0.59,0,0,6.73,0,0,0,0,2.95,17.31,0,0.77,2.52,115.04,1.44,4.3,0.67,0,0,34.71,0,0,1.63,0,0,23.81,0,0,1.02,0,2.62
 48-58,0,0,7.01,2.45,0,52,1.63,5.1,8.68,6.36,0,0,0,8.31,0,0,0.84,0,2.31,14.65,1.99,0,3.4,141.44,0,1.47,3.21,0,0,45.11,0,0,0,1.19,0,25.27,0,0,5.81,0,9.41
 60-70,0,0,13.17,2.98,0,77.29,0.83,1.7,0,10.97,0.99,0,0,10.41,1.79,18.68,7.53,0,0,15.68,0,0,2.14,156.08,0,2.83,0,0,0,47.42,0,0,0.63,0,0,22.01,2.13,0.9,6.61,0,6.86
 72-82,0,2.79,12.33,2.04,0,121.77,0,0.73,0,31.2,7.4,0,0,4.25,1.1,0.57,1.62,3.1,0,33.36,1.32,0,1.67,139.14,0,13.28,5.52,0,0.71,12.65,0,0,1.62,0,0,15.93,2.88,1.37,1.51,2.02,0
 84-94,0,7.27,10.09,2.16,0,73.97,0,4.64,0,14.35,17.14,0,1.82,6,4.2,3.08,5.69,0.86,0.73,25.74,2.88,6.44,0,82.64,0,6.57,8.61,0,0,41.53,0,0,0,0,0,11.01,2.73,0.88,12.37,0,4.78
 96-106,0,3.57,8.38,0,1.23,62.14,0,2.59,2.55,25.08,6.92,0,0.99,13.79,6.26,3.88,4.88,6.69,0,23.82,0,0.69,3.55,65.91,0,2.73,2.73,0,0.81,28.74,0,0,0,0,0,0,3.04,0.72,8.37,2.32,7.37
108-118,0,7.13,16.71,1.58,0,65.6,0,1.74,0.81,19.85,2.19,0,0,7.23,1.03,4.54,2.03,0.44,0,31.97,2.32,2.29,1.74,173.77,0.63,4.14,4.17,0,0,19.54,0,0,0,0,0,0,5.72,2.31,5,0,4.53
120,0,0,5.06,0,0,63.17,0,0,0,14.08,17.97,0,0,4.58,1.28,0,0,0,0,27.98,0,0,0,371.73,9.34,2.2,8.03,0,0,32.47,0,0,0,0,0,15.74,1.84,0,5.95,0,0
