stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,hatching.gland,heart,ionocyte,iridophores,muscle,neural,otic,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,203.19,0,0,0,0,0,0,0,0,0,0,0,0,29.3,0,0,0,0,0
  5-6,82.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.56,0,6.36,0,0,4.39,0,0,0,0,24.24,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,48.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2.64,0.81,0,0,0,0,0,0,0.95,3.87,0,0
 24-34,0,0,1.1,0,0,0,0,0,0,0,0,0.59,0,0,0,0,3.54,0,0
 36-46,0,0,0,1.66,0,0,0,0,0,0,0,12.8,0,0,0,0,7.89,0,0
 48-58,0,0,0,1.31,0,0,0,2.29,0,3.65,1.22,8.11,0,0,0,0,1.46,0,0
 60-70,0,0,0,16.84,0.79,0,0,0,0,0,0,16.78,0,0,0,0,0,0,0
 72-82,0,0,0,62.31,0,0.54,0,0,0,0,0,16.41,2.55,0,0,0,1.92,0.52,0
 84-94,0,0,0,5.92,5.49,0.69,0,3.04,0,0,0,4.61,0,0,0,0,2.49,0,0
 96-106,0,0,0,39.07,0.62,0.81,0,0,0,0,0,0,2.95,0,0,0,0,0,1.44
108-118,0,0,0.44,35.78,0,0,0,1.9,1.33,0,0,25.81,1.22,0,1.48,0,0,0,3.27
120,0,0,0,9.23,0,0,0,0,0,0,0,18.96,0,0,0,0,0,0,2.17
