stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,liver,mesenchyme,muscle,neural,otic,periderm,spinal.cord
  3-4,0,10.94,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.98,74.9,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,13.08,0,0,0,0,0,0,0,20.19,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,10.26,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.07,1.83,0,0,0.82
 24-34,0,0,0.71,0,0.61,0,0,0,0,0,4.24,0.64,0,4.34
 36-46,0,0,0,0,4.67,0,0,0,1.2,0,9.34,0,0,1.06
 48-58,0,0,0,0,3.94,0,0,0,2.14,0,43.51,0.43,0,5.37
 60-70,0,0,0,0,21.61,0,5.29,1.45,11.71,0,22.13,0,0,0.61
 72-82,0,0,0,0,10.85,0,14.44,0,4.09,0,8.38,0,0,0
 84-94,0,0,0,0.67,12.58,0,14.21,0,0,0,6.95,0,1.48,0
 96-106,0,0,0,0,5.71,0,13.1,0,0,0,16.64,0,0.64,0
108-118,0,0,0,0,16.4,0,21.31,0,1.68,0.75,0.81,0,0,0
120,0,0,0,0,4.02,2.75,22.01,0,0,0,2.72,0,0,0
