stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,34.22,181.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,128.69,180.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.39,40.58,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,16.12,60.16,0,0,0,0,222.2,0,0,0,0,0,9.57,0,0,0,0,0,0,0,0,0,0,1512.63,84.09,0,0,167.92,0,12.73,0,0,0,0,0,0,0,0,0,0
 10-12,0,169.36,0,27.31,0,0,309.68,0,0,0,0,0,4.68,0,0,0,0,0,0,0,0,0,0,6558.88,129.4,0,0,689.45,0,0,6.12,12.22,0,0,24.92,0,0,0,0,0
 14-21,0,0,0,0,19.55,0.9,5.83,0,0,0,259,0,1.97,0,0,0,0,0,0,2.15,0,0,5.68,4271.52,6.54,0,0,11.19,1.89,0,8.44,3.7,0,12.16,2405.95,0,0,0,0,0
 24-34,0,0,0,0,6.48,1.81,32.89,8.76,1.37,1.23,384.12,0,0,1.37,0,1.14,0,1.36,0,14,0,0,9.53,5701.9,8.11,3.24,2.51,0,3.66,0,1.15,0.79,1.1,3.12,2565.29,0,0,6.97,0,2.32
 36-46,0,0,0.85,0,24.46,5.31,26.33,0,0,0,631.71,0,0,0,0,0,0,0,8.39,5.22,0,0,17.7,3589.21,1.32,1.95,1.38,0,24.83,0,0,8.55,0,0.6,2216.53,0,0,9.06,0,1.26
 48-58,0,0,0,0,3.27,0,96.89,1.02,0.78,0.78,868.43,1.98,0,0,1.24,0,0,0,0.99,15.77,0,0,8.45,1472.42,0.5,2.53,0,0,4.18,0,0,0,0,0,1694,0,0,0.46,0,0
 60-70,0,0,0,0,2.57,0.62,40.77,0,0,0,896.67,0.85,0,0,1.36,0,0,1.2,0,8.33,0,0,13.05,547.61,0,0,0,0,2.93,0,0,0,0,0,725.6,0,0,1.59,0,0
 72-82,0,0,0,0,1.54,0.57,55.79,0,0,0,967.81,0,0,0,0,0.93,0,1.23,0.57,18.53,0,0,3.06,279.38,0,0,0,0,1.53,0,0,0,0,0,301.9,0.87,0,0,0,0
 84-94,0,0,0,0,1.74,0,44.35,0,0,0,641.62,0,0,0,1.07,0.61,1.35,0,0,3.99,0,0,3.9,233.33,0,0,0,0,1.09,0,0,0,0,0,280.97,0,0,0,0,0
 96-106,0,0,0,0,7.8,7.6,35.72,0,5.54,0,766.17,0.75,0,0,1.63,0,0,0,0,2.37,0,0,5.57,104.66,2.85,0,0,0,0,0,0,0,0.62,0,323.64,0,1.22,0,0,0
108-118,0,0,0,0,1.17,2.1,34.86,0,0.71,0,758.42,0,0,0,0,0,1.31,0,0,14.35,4.07,0,0.45,207.63,0,0,0,0,3.29,0,0,0,0,0,202.81,0,0,0,0.5,0
120,0,0,0,0,4.73,0,13.35,0,0,0,1164.17,0,0,0,5.2,0,0,0,0,1.72,0,15.95,17.34,349.85,0,0,0,0,0,0,0,0,0,0,139.39,0,8.97,0,0,14.33
