stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,16.78,0,0,0
  5-6,7.81,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.95,0,0,3.37,0,0,0,0
 10-12,0,0,0,0,0,0,0,13.21,12.21,0,4.9,0,0,0,0
 14-21,0,0,0,1.86,0.91,0,0,0.81,0,0.87,0,0,1.45,0,0
 24-34,0,0,0,0,0,0,0.75,2.58,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,2.22,0.58,11.43,0,0,0,0,0,2,0
 48-58,0,0,0,0,0,0,1.29,18.89,0,0,0,0,0,0.73,0
 60-70,0,0,0,0,1.93,2.4,0,9.42,0,0,0,0,0,0,0
 72-82,0,0,0,0,3.09,0.64,0,5.53,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,2.83,1.35,0,0,0,0,0,0,0.84
 96-106,0,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0
108-118,0,0,0.48,0,0,0,2.54,2.57,0,0,0,0,0,0,0
120,0,0,5.97,0,0,0,0,0,0,0,0,0,0,0,0
