stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,ionocyte,mesenchyme,neural,olfactory,periderm,spinal.cord,visceral.smooth.muscle,xanthophores
  5-6,23.34,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.54,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,6.49,1.53,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.97,0,0,0,0,0
 48-58,0,1.65,0,0,1.78,0,0,3.45,0,0,1.28,0,1.31
 60-70,0,0.67,5.36,0.86,0,0,1.64,3.06,0,0,0,0,0
 72-82,0,0,0.62,0,1.58,0,0,0,0,0.49,0,0,0.55
 84-94,0,0,0,0,0,1.33,0,0.89,0,0,0,0,0
 96-106,0,0,0,0,2.79,1.25,0,1.79,0,0,0,0.87,0
108-118,0,0,0,0,6.32,0,0,2.8,0,0,0,0,0
120,0,0,0,0,4.07,0,11.9,0,0,0,0,0,0
