stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,15.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0,0,0,0,0
  5-6,6.52,18.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.43,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.99,0,0,0,14.55,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.83,0,0,0,4.36,0,0,0,4.95,0,0,0,0,0
 14-21,0,0,0,7.11,11.64,0,0,0,0,0,2.25,0,0,0,0,0,0,0,1.88,0,0,0,46.96,0,1.37,0,0.95,3.38,0,1.79,4.09,2,113.32,0,0.82,0
 24-34,0,0,0,2.39,0.67,4.23,0,0,0,0,0,0,0.92,0,0,0,0,0,1.19,0,0,1.11,293.3,0.76,2.8,0,0,9.03,0,0,0,0,481.23,0,11.78,0
 36-46,0,0,0,0,0,8.7,0,0,0,4,0,0,0,0.93,0.56,0,2.76,0,6.17,0,0,0.72,310.24,0,3.95,1.44,0,4.85,0,0,0,0,617.59,0,0,1.64
 48-58,0,0,0,8.48,0,21.14,0,0.63,0,12.34,0,0,0,0,0,0,0,0,4.53,0,3.08,0.91,551.56,0.56,0,0,0,1.59,0,0,0,0,554.74,0,0.51,0
 60-70,0,0,0,2.81,0,32.64,0,0.94,0,10.05,0,0.66,0,0,0,0,0,0,14.29,0,0,7.44,605.71,0,0.92,1.42,0,4.83,0,0,0,0,353.53,0,1.64,5.76
 72-82,0,0,1.08,13.99,5.12,60,0,0.5,0,5.88,0,0,0,0,0,0.65,0,0,11.11,0,0,0,783.83,0,0.56,0,0,0,3.31,0,0,0,375.86,3.26,0,4.63
 84-94,0,0,2.24,17.04,0,121.37,0,1.59,0,3.04,0,0,0,0,1.8,1.2,0,0.95,5.93,0,9.62,0,659.94,1.45,0,0,0,2.54,0,0,0,0,215.68,10.37,0,0
 96-106,0,0,1.62,11.31,6.21,95.05,0.59,0.59,4.4,22.34,0,0,0,0,0.77,0,0,0,38.27,2.26,0,0,723.53,0,0,1.16,0,6.77,3.82,0,0,0,204.21,21.2,1.09,0
108-118,0,0,0,5.45,2.87,131.24,0,0,0,19.87,0.63,0,0,0,0,0,0,0,13.51,0,0,0.92,700.23,0,2.56,0,0,3.98,0,0,0,0,196.16,28.13,1.17,0
120,0,0,0,10.76,0,293.09,12.08,0,0,121.91,3.28,0,0,2.02,0,1.69,0,0,48.95,0,0,2.58,2108.9,0,0,4.64,0,10.07,0,0,0,0,561.53,9.75,4.29,0
