stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.4,46.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,38.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.54,0,0,0,0,0,0,0,0,0
  7-9,0,5,0,0,0,0,31.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.86,0,0,0,12.95,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,27.04,0,0,7.16,0,24.79,0,0,0,0,5.11,0,0,0,0,0,0,0,0,0,495.5,55.58,0,0,34.74,0,0,0,19.44,0,0,0,0,0,0,0
 14-21,0,0,0,4.1,5.21,0,8.7,0,0,5.04,0,3.48,1.45,0,0,0,0,3.35,20.11,0,14.46,188.95,3.49,1.23,0,3.15,0,0,18.78,0,8.77,26.49,78.22,0,2.78,0,0
 24-34,0,0,0,2.91,0.76,0,19.17,0,0.79,1.91,0,0,1.37,1.72,0,0,0.96,3.69,41.12,0,18.8,324.48,3.12,0,0,0,0,0.8,0,0,0,2.02,72.89,0,27.32,0,3.17
 36-46,0,0,2.35,0,0,0,37.1,0,1.38,15.06,0,4.78,1.65,0,0,0,0,8.43,54.85,0.8,12.44,616.85,4.99,0,0,0,0,3.97,0,0,0.74,0,117.98,0,5.94,0,1.44
 48-58,0,0,0,2.43,0,0,83.45,0,1.35,43.61,0,0,0.38,0,0,4.64,0,2.52,70.6,2.96,9.36,845.76,3.19,1.68,0.64,0,0,0,0,0,0,0,162.56,0,3.27,0,1.27
 60-70,0,0,0,0,0,0,221.58,0,3.17,62.74,0,0,0.93,0,0,6.81,0,1.46,73.14,0,2.85,905.33,1.76,2.6,0,0,0,3.17,1.38,0,0,0,167.38,1.52,0,0.64,21.4
 72-82,0,0,0,5.79,0.76,0,306.31,0,5.24,104.62,0,0,0,0.69,0,0,0,1.45,154.23,3.16,12.93,1191.81,1.42,5.41,1.44,0,0,0,0,0,0,0,131.69,8.06,6,3.31,8.9
 84-94,0,0,0,13.08,0,0,209.26,1.97,10.86,83.11,0,0,0,0,1.93,0.64,0,12.07,96.33,2.52,12.51,677.55,2.75,2.35,0.64,0,0,2.43,0,0,0,0,40.17,5.82,17.98,5.1,10.14
 96-106,0,0,0,7.3,0,1.07,261.51,0,3.41,102.05,0,0,2.2,0.58,0,3.18,0,0.63,99.11,7.79,7.81,531.86,2.09,4.68,1.2,0,0,0,0,1.4,0,0,55.79,1.88,15.39,2.85,0.86
108-118,0,0,0.71,3.13,0,1.22,269.06,0.68,4.08,83.11,1.07,0,0,0.95,1.01,1.74,0,2.55,78.78,0.75,7.46,581.58,0.69,0.59,1.46,0,0.86,2.64,0,0.84,0,0,30.33,0,10.63,1.76,8.3
120,0,0,0,8.63,1.32,4.06,223.13,0,1.67,155.45,0,0,0,7.18,0,0,0,0,124.79,12,6.6,759.14,2.47,4.83,0,0,0,0,0,0,0,0,13.38,1.51,11.15,17.7,0
