stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,14.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.34,0,0,0,0,0,0,0,0,0,0,0,7.7,0,5.98,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,0,0,0,0,0,0
 14-21,0,0,0.99,5.02,0,0,0,0,0,1.23,0,0,8.2,4.24,0,0,0,6.39,0,0
 24-34,0,0,0,0,0,0,0.73,0,0,0,0,0,0,15.03,0,0,4.56,1.81,0,1.01
 36-46,0,0,3.05,10.36,0,0.56,0.85,0,0,0.62,0,0,2.71,14,0,0,1.8,0,0,0
 48-58,0,0,0,8.64,0,0,0.78,0,0,3.59,0,0,0,9.33,0,0,6.58,1.83,0,0
 60-70,0,0,0,94.1,0,0,1.59,1.63,0,9.76,0,0,0.88,12.16,0,0,8.83,4.25,0,0
 72-82,0,0,0,74.22,0,0,1.45,3.26,0,4.29,0,0.68,0.56,6.01,0.61,0,0.52,1.28,0,0
 84-94,0,0,0.58,22.75,0,3.15,0,5.55,0.89,9.32,0,0,0,3.78,0,0,4.29,0,0,0.87
 96-106,0,0,1.34,22.99,0,0,1.41,5.06,0,0,0,0,0,2.09,0.85,0,2.91,0,0,0
108-118,0,0,2.25,20.29,0.82,0,0,12.75,0,6.6,1.41,0,0.55,3.9,0,0,1.31,0,1.53,0
120,0,0,0,1.65,0,0,7.16,16.9,0,0,0,0,1.81,37.82,1.34,0,9.47,0,0,0
