stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.07,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,2.17,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,4.84,0,0,0,0,0,0,0,2.07,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94,0,0,0,0,0,0,0,1.25,0,0,0,0,0
 48-58,0,0,0,0,0,1.73,0,0,0.54,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,29.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,117.27,1.74,0,0,0,1.54,0,0,0,0,0,0,0,0,2.13,0,0,0,4.21,0,0,0,0,1.48,0,0,0,0,0,0,0,6.7
 84-94,0,0,0,0,40.12,10.27,0,0,0,1.06,0,0,0,0,0,0,3.33,0,2.81,0,0,0,8.54,0,0,0,0,1.78,0,0,0,0,0,0,2,0
 96-106,0,2.56,5.32,26.15,2060.96,48.25,0.93,2.31,0,14.28,5.73,0.97,3.43,3.89,0,0,39.4,0,57.44,0,0,1.08,155.97,0.62,3.75,0.87,1.44,12.11,0,0,9.28,1.88,0.93,9.68,1.42,11.91
108-118,0,0.62,10.12,16.53,5739.65,201.64,3.05,1.39,2.26,20.59,4.08,8.2,2.07,1.86,5.02,0.53,13.2,0,56.97,4.51,1.88,3.84,340.69,1.16,2.97,1.1,2.52,30.27,0,0,2.01,0,3.95,13.19,3.58,27.68
120,0,0,30.77,1.93,2861,214.31,0,1.06,1.47,37.5,3.12,0,5.75,8.38,0,5.32,9.04,1.55,122.46,0,0,2.23,370.08,1.12,2.34,8.63,9.57,18.93,0,0,33.36,0,0,6.51,6.92,19.46
