stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,hatching.gland,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,22.8,440.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.75,0,0,0,0,0,0
  5-6,0,1212.67,10.26,0,0,0,0,0,76.43,0,0,0,0,0,0,276.03,0,0,86.75,8.76,0,0,0,0,0,0
  7-9,28.57,26.85,33.99,0,0,35.03,0,0,8.7,0,0,0,0,0,0,920.86,31.66,0,415.2,20.69,0,0,0,0,0,0
 10-12,0,0,5.37,0,0,12.57,0,0,0,0,0,0,0,0,0,1057.28,30.76,0,289.61,0,9.31,41.36,0,9.08,0,0
 14-21,0,0,0,2.35,0.84,0.86,0,0,0,0,0,0,0,0,0,12.08,0,0,0,0.84,4.02,0,1.1,2.73,0,0
 24-34,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0.63,0,28.01,0,0.75,0,3.06,0,0,0.71,6.52,2.96,0.64
 36-46,0,0,0,0,0,0,0,1.26,0,0,0,0,0,1.17,0,34.54,0,0.81,0,1.39,0,0,0,11.57,0,5.07
 48-58,0,0,0,0,0,4.09,0,1.23,0,0,0,0,0.8,2.83,0,20.71,0,1.28,0,0,0,0,0,1.17,0,4.32
 60-70,0,0,0,0,0,5.91,0,0,0,0,0,1.31,0,2.94,0,19.11,0,1.43,0,0,0,0,0,4.49,0,0
 72-82,0,0,0,0,8.08,8.73,0,1.08,0.59,0,0,0,0,3.92,0,10.05,0,1.2,0,0.9,0,0,0,4.77,1.77,0
 84-94,0,0,0,0,0,1.7,0.75,1.5,0,0,0,0,0,0.65,0,0,0,0,0,6.9,0,0,0,2.5,0,1.06
 96-106,0,0,0,0.76,6.77,5.33,0,0,0,0.66,0,0,0,1.38,1.41,12.48,0,0,0,0,0,0,0,0,0,1.21
108-118,0,0,0,0.43,0,0,0,0,0,0,0.73,1.66,0,1.31,0,7.54,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,2.11,0,0,0,33.73,0,0,0,0,0,0,0,0,0,0
