stage,axial,blastomeres,endoderm,eye,glial,gut,mesenchyme,neural,paraxial.mesoderm,pronephros,spinal.cord
  3-4,0,47.47,0,0,0,0,0,0,0,0,0
  5-6,44.7,134.48,0,0,0,0,0,0,13.26,0,0
  7-9,7.58,13.86,7.19,8.09,0,0,0,148.72,109.35,0,0
 10-12,0,0,0,0,0,0,0,29.17,18.51,6.51,0
 14-21,0,0,0,0,0.93,1.08,0,2.95,0,0,1.02
 24-34,0,0,0,1.87,0,0,0,2.81,0,0,1.27
 36-46,0,0,0,1.74,0,0,1.44,0.86,0,0,1.19
 48-58,0,0,0,2.4,0,0,0.49,4.7,0,0,0.97
 60-70,0,0,0,0.79,0,0,0,1.1,0,0,0
 72-82,0,0,0,0,0,0,0.8,1.42,0,0,0
 84-94,0,0,0,1.19,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,3.9,0,0,0
108-118,0,0,0,0.43,0,0,0,0,0,0,0
