stage,blastomeres,endoderm,eye,glial,hatching_gland,heart,iridophores,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,16.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,6.16,0,0,0,0,0,16.47,17.67,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,20.12,30.53,0,5.54,0,0,0
 14-21,0,1.33,0,0,0,0,0,6.45,0,5.22,0,0.82,3.74,0,0,0,0
 24-34,0,0,0,0,0,0,0,14.38,0,3.54,2.27,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.9,0,12.61,0.57,1.96,1.27,0,0,0,0,6.36,0
 48-58,0,0,0,0,0,0,0,3.63,0,0.98,3.5,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.65,0,0,7.92,0,0,0,1.1,0,0
 72-82,0,0,0.64,0,0,0,0,0.83,0,0,2.7,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0.66,0,0,0.78,0,0,0,0,0,0
 96-106,0,0,0,2.29,0,0,0,1.07,0,0,2.76,0,0,0,0,0,0.58
108-118,0,0,0,0,0,0,1.53,1.22,0,0,1.66,0,0,0,0,0,0
